Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,GBH,GBD,GBA,IWH,IWD,IWA,SYH,SYD,SYA,WHH,WHD,WHA,Country,Season
SP2,2002-02-02,Oviedo,Jaen,0,0,D,0,0,D,1.75,2.9,4.55,1.7,2.8,4.3,1.727,2.875,5.0,1.8,2.8,4.5,ES,2001/2002
SP2,2002-03-02,Albacete,Sp Gijon,1,2,A,1,1,D,1.95,2.85,3.7,1.9,2.7,3.5,1.909,2.8,4.0,2.0,2.75,3.7,ES,2001/2002
SP2,2002-03-02,Poli Ejido,Ferrol,3,0,H,1,0,H,2.55,2.85,2.55,2.5,2.7,2.5,2.7,2.8,2.5,2.8,2.75,2.4,ES,2001/2002
SP2,2002-03-02,Gimnastic,Eibar,1,0,H,0,0,D,2.25,2.8,3.0,2.4,2.7,2.6,2.5,2.8,2.7,,,,ES,2001/2002
SP2,2002-03-02,Xerez,Santander,2,1,H,1,0,H,2.02,2.75,3.6,2.0,2.6,3.4,2.1,2.8,3.4,2.0,2.7,3.8,ES,2001/2002
SP2,2002-06-02,Badajoz,Albacete,2,3,A,2,0,H,1.98,2.85,3.58,2.0,2.8,3.1,,,,2.0,2.75,3.7,ES,2001/2002
SP2,2002-06-02,Burgos,Santander,0,0,D,0,0,D,2.28,2.8,2.95,2.3,2.7,2.7,,,,2.1,2.8,3.3,ES,2001/2002
SP2,2002-06-02,Eibar,Oviedo,1,1,D,0,1,A,2.18,2.85,3.05,2.2,2.8,2.8,,,,2.2,2.75,3.15,ES,2001/2002
SP2,2002-06-02,Jaen,Extremadura,1,0,H,1,0,H,2.22,2.8,3.05,2.2,2.8,2.8,,,,2.3,2.7,3.0,ES,2001/2002
SP2,2002-06-02,Leganes,Poli Ejido,2,0,H,0,0,D,1.7,3.1,4.5,1.7,2.9,4.0,,,,1.75,2.9,4.6,ES,2001/2002
SP2,2002-06-02,Numancia,Xerez,1,1,D,1,0,H,2.48,2.75,2.7,2.4,2.7,2.6,,,,2.65,2.65,2.65,ES,2001/2002
SP2,2002-06-02,Ferrol,Gimnastic,1,2,A,0,1,A,1.7,3.05,4.52,1.6,3.0,4.6,,,,1.75,2.9,4.6,ES,2001/2002
SP2,2002-06-02,Recreativo,Elche,1,0,H,0,0,D,1.68,3.0,4.8,1.65,2.9,4.4,,,,1.7,2.9,5.0,ES,2001/2002
SP2,2002-06-02,Salamanca,Murcia,0,0,D,0,0,D,1.7,3.1,4.45,1.65,2.9,4.4,,,,1.7,2.9,5.0,ES,2001/2002
SP2,2002-06-02,Sp Gijon,Cordoba,3,0,H,2,0,H,1.98,2.85,3.55,1.9,2.8,3.4,,,,2.0,2.9,3.5,ES,2001/2002
SP2,2002-07-02,Levante,Ath Madrid,2,4,A,1,1,D,3.7,2.9,1.92,3.4,2.9,1.85,,,,3.7,3.1,1.85,ES,2001/2002
SP2,2002-09-02,Oviedo,Ferrol,2,1,H,0,1,A,1.8,3.1,4.0,1.8,2.8,3.7,1.8,3.0,4.333,1.83,2.95,4.0,ES,2001/2002
SP2,2002-09-02,Santander,Jaen,2,0,H,0,0,D,1.6,3.2,5.15,1.6,3.0,4.6,1.667,3.1,5.0,1.61,3.0,5.5,ES,2001/2002
SP2,2002-10-02,Albacete,Numancia,3,1,H,1,0,H,1.85,2.9,4.1,1.9,2.8,3.4,1.833,3.0,4.0,2.0,2.85,3.5,ES,2001/2002
SP2,2002-10-02,Ath Madrid,Salamanca,2,1,H,1,0,H,1.55,3.2,5.8,1.55,3.1,4.8,1.571,3.0,6.0,1.5,3.05,7.0,ES,2001/2002
SP2,2002-10-02,Cordoba,Badajoz,1,2,A,1,1,D,2.05,2.8,3.5,2.0,2.7,3.3,2.1,2.875,3.3,1.95,2.85,3.7,ES,2001/2002
SP2,2002-10-02,Poli Ejido,Levante,1,0,H,1,0,H,2.15,2.8,3.25,2.2,2.8,2.8,2.2,2.75,3.25,2.2,2.8,3.1,ES,2001/2002
SP2,2002-10-02,Elche,Sp Gijon,1,0,H,0,0,D,2.2,2.8,3.15,2.2,2.7,2.9,2.25,2.8,3.1,2.2,2.8,3.1,ES,2001/2002
SP2,2002-10-02,Extremadura,Eibar,0,1,A,0,1,A,1.95,3.0,3.5,1.9,2.8,3.4,1.909,2.875,4.0,1.9,2.9,3.8,ES,2001/2002
SP2,2002-10-02,Gimnastic,Leganes,0,1,A,0,1,A,2.15,2.8,3.25,2.1,2.7,3.1,2.1,2.8,3.4,2.15,2.75,3.25,ES,2001/2002
SP2,2002-10-02,Murcia,Recreativo,2,0,H,0,0,D,2.65,2.8,2.5,2.6,2.7,2.4,2.75,2.75,2.5,2.7,2.7,2.55,ES,2001/2002
SP2,2002-10-02,Xerez,Burgos,1,0,H,1,0,H,1.9,3.0,3.7,2.0,2.8,3.1,1.909,3.0,3.75,1.95,2.9,3.6,ES,2001/2002
SP2,2002-02-16,Jaen,Burgos,0,0,D,0,0,D,2.4,2.8,2.75,2.4,2.6,2.7,2.4,2.8,2.8,2.4,2.75,2.8,ES,2001/2002
SP2,2002-02-16,Leganes,Oviedo,1,3,A,0,2,A,2.52,2.75,2.68,2.5,2.6,2.6,2.4,2.8,2.8,2.6,2.7,2.65,ES,2001/2002
SP2,2002-02-16,Levante,Gimnastic,2,2,D,1,0,H,2.12,2.85,3.22,2.1,2.7,3.1,2.2,2.8,3.2,2.2,2.7,3.2,ES,2001/2002
SP2,2002-02-16,Recreativo,Ath Madrid,1,3,A,0,2,A,2.55,2.75,2.62,2.6,2.6,2.5,2.6,2.8,2.6,2.55,2.7,2.7,ES,2001/2002
SP2,2002-02-17,Albacete,Xerez,3,0,H,2,0,H,2.35,2.8,2.82,2.4,2.6,2.7,2.25,2.8,3.1,2.4,2.7,2.9,ES,2001/2002
SP2,2002-02-17,Badajoz,Elche,1,3,A,1,0,H,1.9,2.95,3.7,2.0,2.7,3.3,1.833,3.0,4.0,2.0,2.8,3.6,ES,2001/2002
