Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,GBAHH,GBAHA,GBAH,Country,Season
D2,2003-03-08,Ahlen,Osnabruck,0,1,A,0,1,A,1.8,3.25,3.75,1.8,3.25,3.8,1.7,3.2,4.2,1.75,3.3,4.0,1.7,3.2,4.2,1.6,2.05,1.75,1.95,-0.5,DE,2003/2003
D2,2003-03-08,Bielefeld,Oberhausen,1,3,A,0,1,A,1.571,3.5,5.0,1.55,3.55,5.0,1.7,3.2,4.2,1.57,3.5,5.0,1.55,3.4,5.0,1.6,2.05,1.9,1.8,-1.0,DE,2003/2003
D2,2003-03-08,Burghausen,Aachen,1,1,D,1,1,D,2.1,3.2,3.0,2.1,3.1,3.0,2.2,3.0,2.9,2.15,3.1,3.0,2.2,3.2,2.7,1.65,1.95,1.8,1.9,-0.25,DE,2003/2003
D2,2003-03-08,Cottbus,Ein Trier,2,3,A,2,1,H,1.667,3.25,4.5,1.7,3.4,4.15,1.65,3.3,4.4,1.66,3.5,4.2,1.6,3.4,4.6,1.6,2.05,1.9,1.8,-0.75,DE,2003/2003
D2,2003-03-08,Duisburg,Lubeck,2,1,H,0,0,D,1.833,3.2,3.75,1.73,3.3,4.0,1.65,3.3,4.4,1.7,3.5,4.0,1.65,3.45,4.2,1.65,1.95,1.9,1.8,-0.75,DE,2003/2003
D2,2003-03-08,Erzgebirge Aue,Regensburg,0,1,A,0,1,A,1.909,3.25,3.4,1.95,3.15,3.3,1.9,3.1,3.5,1.9,3.2,3.5,2.0,3.0,3.3,1.7,1.9,1.9,1.8,-0.5,DE,2003/2003
D2,2003-03-08,Greuther Furth,Unterhaching,2,4,A,1,2,A,1.727,3.2,4.333,1.75,3.25,3.9,1.8,3.1,3.8,1.75,3.3,4.0,1.8,3.4,3.5,1.6,2.05,1.9,1.8,-0.75,DE,2003/2003
D2,2003-03-08,Mainz,Union Berlin,2,1,H,1,1,D,1.667,3.25,4.5,1.67,3.4,4.25,1.6,3.4,4.6,1.61,3.6,4.33,1.55,3.4,5.0,1.6,2.05,2.1,1.65,-1.0,DE,2003/2003
D2,2003-04-08,Karlsruhe,Nurnberg,2,3,A,0,0,D,2.625,3.1,2.375,2.6,3.15,2.35,2.7,3.0,2.3,2.75,3.1,2.3,2.5,3.2,2.35,1.7,1.9,1.75,1.95,0.25,DE,2003/2003
D2,2003-08-08,Ein Trier,Erzgebirge Aue,2,1,H,2,0,H,1.727,3.2,4.333,1.7,3.4,4.35,1.65,3.3,4.4,1.66,3.5,4.2,1.6,3.4,4.6,1.6,2.05,2.05,1.7,-1.0,DE,2003/2003
D2,2003-08-08,Lubeck,Bielefeld,0,0,D,0,0,D,2.375,3.25,2.5,2.35,3.2,2.6,2.2,3.0,2.9,2.3,3.2,2.62,2.15,3.15,2.8,1.65,1.95,1.75,1.97,0.0,DE,2003/2003
D2,2003-08-08,Regensburg,Greuther Furth,0,0,D,0,0,D,2.375,3.25,2.5,2.4,3.2,2.55,2.5,3.0,2.5,2.4,3.2,2.5,2.45,3.1,2.45,1.65,1.95,1.75,1.97,0.0,DE,2003/2003
D2,2003-10-08,Nurnberg,Burghausen,2,0,H,1,0,H,1.5,3.6,5.5,1.5,3.5,5.4,1.45,3.8,5.4,1.5,3.6,5.5,1.5,3.5,5.4,1.6,2.05,,,,DE,2003/2003
D2,2003-10-08,Oberhausen,Ahlen,1,3,A,1,0,H,1.909,3.25,3.4,2.0,3.2,3.3,2.0,3.1,3.2,1.95,3.2,3.3,1.95,3.25,3.15,1.6,2.05,1.95,1.75,-0.5,DE,2003/2003
D2,2003-10-08,Osnabruck,Karlsruhe,1,2,A,0,1,A,1.909,3.25,3.4,2.0,3.2,3.3,2.0,3.1,3.2,1.95,3.2,3.3,1.95,3.25,3.15,1.6,2.05,1.95,1.75,-0.5,DE,2003/2003
