Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Attendance,Referee,HS,AS,HST,AST,HHW,AHW,HC,AC,HF,AF,HO,AO,HY,AY,HR,AR,HBP,ABP,GBH,GBD,GBA,IWH,IWD,IWA,SBH,SBD,SBA,SYH,SYD,SYA,WHH,WHD,WHA,Country,Season
D2,2001-12-16,Bochum,Aachen,5,3,H,3,1,H,10993,Felix Brych,21.0,13.0,8.0,7.0,1.0,0.0,7.0,2.0,15.0,17.0,2.0,1.0,2,3,0,0,20,30,1.6,3.4,4.75,1.65,3.3,4.4,1.67,3.25,4.5,1.62,3.25,5.0,1.65,3.3,4.4,DE,2001/2002
D2,2001-12-16,Hannover,Greuther Furth,3,1,H,1,0,H,22185,Peter Gagelmann,16.0,12.0,10.0,5.0,0.0,0.0,4.0,6.0,20.0,17.0,3.0,3.0,1,2,0,0,10,20,1.65,3.35,4.5,1.65,3.3,4.4,1.62,3.4,4.75,1.62,3.5,4.5,1.65,3.4,4.25,DE,2001/2002
D2,2001-12-16,Mainz,Union Berlin,1,0,H,1,0,H,7816,Torsten Koop,20.0,11.0,6.0,4.0,0.0,0.0,6.0,3.0,10.0,16.0,7.0,7.0,2,1,0,0,20,10,1.67,3.35,4.35,1.7,3.2,4.2,1.67,3.3,4.5,1.67,3.25,4.5,1.7,3.35,4.0,DE,2001/2002
D2,2001-12-16,Mannheim,Schweinfurt,2,0,H,1,0,H,5100,Florian Meyer,14.0,8.0,8.0,4.0,0.0,0.0,7.0,0.0,17.0,19.0,3.0,2.0,1,3,0,0,10,30,1.6,3.4,4.75,1.55,3.5,4.8,1.6,3.3,5.0,1.62,3.25,5.0,1.6,3.4,4.6,DE,2001/2002
D2,2001-12-18,Ahlen,Duisburg,2,2,D,1,0,H,5282,Günter Perl,11.0,11.0,5.0,5.0,0.0,0.0,3.0,1.0,6.0,12.0,4.0,4.0,1,2,0,0,10,20,1.8,3.3,3.7,1.85,3.1,3.6,1.8,3.25,3.8,1.73,3.2,4.33,1.85,3.35,3.35,DE,2001/2002
D2,2001-12-18,Babelsberg,Bielefeld,0,2,A,0,0,D,2600,Christian Schüssling,18.0,11.0,7.0,4.0,0.0,0.0,6.0,5.0,13.0,15.0,1.0,1.0,1,2,0,0,10,20,3.55,3.3,1.85,3.2,3.1,2.0,,,,3.0,3.1,2.1,2.95,3.2,2.05,DE,2001/2002
D2,2001-12-18,Reutlingen,Ein Frankfurt,2,1,H,0,1,A,6000,Lutz Michael Fröhlich,11.0,6.0,8.0,4.0,0.0,0.0,6.0,2.0,9.0,16.0,0.0,0.0,1,2,0,0,10,20,2.45,3.05,2.55,2.4,3.0,2.6,2.5,3.1,2.5,2.5,3.0,2.5,2.35,3.15,2.55,DE,2001/2002
D2,2001-12-19,Bochum,Unterhaching,4,0,H,3,0,H,9361,Dirk Margenberg ,22.0,10.0,10.0,4.0,0.0,2.0,4.0,3.0,16.0,16.0,1.0,1.0,1,2,0,0,10,20,1.75,3.25,4.0,1.7,3.2,4.2,1.75,3.3,4.0,1.73,3.2,4.33,1.6,3.4,4.6,DE,2001/2002
D2,2001-12-19,Mainz,Aachen,0,1,A,0,0,D,8118,Kai Voss,10.0,4.0,4.0,0.0,0.0,0.0,9.0,3.0,17.0,19.0,6.0,4.0,4,3,1,0,65,30,1.5,3.6,5.45,1.55,3.5,4.8,1.44,3.6,6.5,1.44,3.6,6.0,1.5,3.6,5.2,DE,2001/2002
D2,2001-12-19,Mannheim,Saarbrucken,4,0,H,1,0,H,4512,Thomas Frank,14.0,5.0,7.0,1.0,1.0,0.0,4.0,5.0,14.0,13.0,1.0,1.0,2,0,0,0,20,0,1.65,3.4,4.4,1.7,3.2,4.2,1.57,3.5,5.0,1.44,3.6,6.0,1.5,3.5,5.4,DE,2001/2002
D2,2001-12-19,Oberhausen,Greuther Furth,1,2,A,0,1,A,2505,Stefan Weber,11.0,9.0,4.0,4.0,0.0,0.0,9.0,10.0,19.0,18.0,7.0,6.0,2,3,0,0,20,30,2.4,3.2,2.5,2.4,3.0,2.6,2.5,3.25,2.4,2.6,3.1,2.38,2.5,3.25,2.3,DE,2001/2002
D2,2001-12-19,Schweinfurt,Karlsruhe,1,1,D,1,1,D,5050,Ralf Späker,7.0,13.0,3.0,8.0,0.0,1.0,1.0,8.0,19.0,15.0,1.0,1.0,0,1,0,0,0,10,2.05,3.1,3.15,2.1,3.0,3.1,2.1,3.2,3.0,2.1,3.1,3.0,2.1,3.2,2.85,DE,2001/2002
D2,2001-12-20,Hannover,Union Berlin,3,2,H,2,0,H,17000,Herbert Fandel,12.0,10.0,6.0,3.0,0.0,0.0,4.0,5.0,13.0,15.0,1.0,1.0,1,3,0,0,10,30,1.6,3.4,4.8,1.65,3.3,4.4,1.6,3.4,4.8,1.67,3.4,4.33,1.6,3.45,4.5,DE,2001/2002
D2,2002-01-25,Duisburg,Babelsberg,4,1,H,2,0,H,7000,"Stark, W",10.0,8.0,7.0,5.0,0.0,0.0,1.0,3.0,14.0,22.0,4.0,3.0,2,1,0,1,20,35,1.65,3.3,4.6,1.75,3.2,4.0,1.667,3.3,4.5,1.667,3.25,4.5,1.65,3.3,4.4,DE,2001/2002
D2,2002-01-25,Karlsruhe,Bochum,4,1,H,2,0,H,12000,"Kemmling, U",14.0,8.0,6.0,3.0,0.0,0.0,4.0,6.0,7.0,11.0,2.0,6.0,0,3,0,0,0,30,2.4,3.2,2.5,2.5,3.0,2.5,2.375,3.1,2.625,2.3,3.1,2.7,2.35,3.15,2.55,DE,2001/2002
D2,2002-01-25,Union Berlin,Oberhausen,3,1,H,2,0,H,7472,"Brych, F",11.0,15.0,6.0,8.0,0.0,0.0,5.0,2.0,10.0,8.0,1.0,2.0,0,0,0,0,0,0,1.55,3.4,5.3,1.7,3.2,4.2,1.571,3.4,5.25,1.533,3.6,5.0,1.5,3.6,5.2,DE,2001/2002
D2,2002-01-26,Bielefeld,Reutlingen,1,1,D,0,0,D,10056,"Kessler, J",16.0,6.0,9.0,4.0,0.0,0.0,10.0,7.0,18.0,14.0,2.0,2.0,4,2,0,0,40,20,1.6,3.4,4.8,1.55,3.5,4.8,1.667,3.4,4.333,1.615,3.5,4.5,1.55,3.5,4.8,DE,2001/2002
D2,2002-01-26,Greuther Furth,Ahlen,3,2,H,2,1,H,5036,"Rafati, B",13.0,8.0,6.0,3.0,3.0,1.0,5.0,7.0,11.0,19.0,1.0,2.0,0,5,0,2,0,100,1.9,3.2,3.45,2.0,3.1,3.2,1.95,3.2,3.3,1.909,3.25,3.4,1.9,3.25,3.3,DE,2001/2002
D2,2002-01-27,Aachen,Hannover,2,4,A,1,2,A,18500,"Wagner, L",15.0,12.0,6.0,6.0,1.0,0.0,11.0,1.0,18.0,20.0,2.0,5.0,2,3,0,0,20,30,2.5,3.0,2.55,2.8,2.9,2.3,2.6,3.0,2.5,2.6,3.1,2.375,2.45,3.1,2.45,DE,2001/2002
D2,2002-01-27,Ein Frankfurt,Mannheim,2,2,D,1,0,H,15000,"Gagelmann, P",13.0,4.0,3.0,4.0,1.0,0.0,14.0,7.0,8.0,11.0,0.0,1.0,4,3,0,0,40,30,1.75,3.3,4.0,1.8,3.1,3.8,1.8,3.2,4.0,1.727,3.2,4.333,1.8,3.3,3.6,DE,2001/2002
D2,2002-01-27,Saarbrucken,Schweinfurt,2,1,H,2,1,H,6500,"Jansen, J",10.0,11.0,4.0,8.0,0.0,0.0,4.0,8.0,17.0,15.0,3.0,1.0,0,3,0,0,0,30,1.9,3.2,3.5,1.8,3.1,3.8,1.85,3.3,3.5,2.1,3.2,3.0,1.85,3.3,3.4,DE,2001/2002
D2,2002-01-28,Unterhaching,Mainz,0,0,D,0,0,D,4000,"Weber, S",8.0,10.0,6.0,2.0,0.0,1.0,5.0,4.0,24.0,16.0,1.0,3.0,3,5,0,1,30,75,2.55,3.2,2.35,2.4,3.0,2.6,2.625,3.1,2.375,2.6,3.1,2.375,2.45,3.1,2.45,DE,2001/2002
D2,2002-01-02,Reutlingen,Duisburg,0,1,A,0,1,A,6200,"Wack, F.-X.",9.0,4.0,5.0,1.0,2.0,1.0,4.0,0.0,16.0,15.0,0.0,0.0,1,4,0,0,10,40,1.82,3.3,3.62,,,,1.833,3.3,3.6,1.909,3.2,3.5,1.9,3.2,3.4,DE,2001/2002
D2,2002-01-02,Saarbrucken,Karlsruhe,1,1,D,1,0,H,5800,"Kinhöfer , T",9.0,5.0,4.0,2.0,2.0,1.0,6.0,6.0,18.0,15.0,2.0,2.0,3,2,1,0,55,20,2.32,3.25,2.55,,,,2.4,3.1,2.6,2.4,3.2,2.5,2.3,3.15,2.6,DE,2001/2002
D2,2002-01-02,Schweinfurt,Ein Frankfurt,0,1,A,0,0,D,9800,"Aust, J",9.0,10.0,4.0,5.0,0.0,0.0,3.0,10.0,19.0,14.0,2.0,5.0,4,1,1,0,65,10,2.65,3.15,2.3,,,,2.6,3.1,2.4,2.6,3.1,2.375,2.5,3.1,2.4,DE,2001/2002
D2,2002-02-02,Babelsberg,Greuther Furth,1,5,A,0,2,A,2700,"Stachowiak, A",9.0,11.0,2.0,7.0,0.0,0.0,5.0,5.0,14.0,15.0,2.0,4.0,2,2,1,0,45,20,2.8,3.25,2.15,2.7,3.0,2.3,2.875,3.3,2.1,2.8,3.2,2.2,2.9,3.25,2.05,DE,2001/2002
D2,2002-02-02,Mannheim,Bielefeld,1,1,D,0,1,A,7000,"Minskowski, F",24.0,11.0,8.0,3.0,0.0,1.0,11.0,4.0,24.0,23.0,1.0,0.0,3,1,0,1,30,35,2.25,3.25,2.65,2.2,2.9,3.0,2.25,3.2,2.75,2.3,3.1,2.7,2.2,3.15,2.75,DE,2001/2002
D2,2002-03-02,Ahlen,Union Berlin,2,2,D,0,1,A,7815,"Strampe, H",12.0,12.0,5.0,4.0,0.0,2.0,5.0,2.0,17.0,15.0,0.0,0.0,3,1,0,0,30,10,2.0,3.25,3.1,2.0,3.1,3.2,2.1,3.1,3.1,2.0,3.2,3.2,2.0,3.15,3.15,DE,2001/2002
D2,2002-03-02,Hannover,Unterhaching,1,0,H,1,0,H,26289,"Trautmann, S",16.0,7.0,3.0,4.0,0.0,0.0,7.0,5.0,9.0,22.0,5.0,3.0,1,1,0,0,10,10,1.45,3.7,5.9,1.55,3.5,4.8,1.4,3.75,7.0,1.4,3.75,7.0,1.4,3.6,7.0,DE,2001/2002
D2,2002-03-02,Mainz,Bochum,1,1,D,0,0,D,11300,"Berg, A",14.0,11.0,4.0,4.0,1.0,0.0,8.0,3.0,17.0,14.0,4.0,0.0,0,3,0,0,0,30,1.85,3.25,3.55,2.0,3.1,3.2,1.8,3.3,3.75,1.8,3.4,3.6,1.8,3.3,3.6,DE,2001/2002
D2,2002-03-02,Oberhausen,Aachen,4,0,H,3,0,H,5000,"Fleischer, H",14.0,7.0,9.0,0.0,0.0,0.0,10.0,2.0,16.0,19.0,2.0,4.0,3,3,1,0,55,30,2.3,3.25,2.6,2.2,3.0,2.9,2.4,3.1,2.6,2.4,3.2,2.5,2.35,3.1,2.55,DE,2001/2002
D2,2002-05-02,Bielefeld,Schweinfurt,2,1,H,2,0,H,7469,"Aust, J",12.0,7.0,8.0,3.0,0.0,0.0,2.0,0.0,12.0,5.0,0.0,0.0,1,4,0,0,10,40,1.37,4.0,7.0,1.35,4.0,7.0,1.364,4.0,7.0,,,,1.4,3.6,7.0,DE,2001/2002
D2,2002-05-02,Duisburg,Mannheim,3,1,H,1,0,H,5000,"Spaker, R.",8.0,3.0,4.0,2.0,2.0,0.0,2.0,5.0,11.0,8.0,0.0,0.0,0,1,0,0,0,10,2.0,3.25,3.15,2.1,3.0,3.1,2.0,3.2,3.2,,,,1.95,3.25,3.15,DE,2001/2002
D2,2002-05-02,Ein Frankfurt,Saarbrucken,2,2,D,0,1,A,11500,"Brych, F",11.0,5.0,7.0,2.0,2.0,0.0,7.0,3.0,13.0,17.0,0.0,0.0,2,3,0,0,20,30,1.5,3.6,5.5,1.55,3.5,4.8,1.444,3.6,6.5,,,,1.45,3.55,6.0,DE,2001/2002
D2,2002-05-02,Greuther Furth,Reutlingen,4,1,H,3,1,H,4500,"Kammerer, S",8.0,2.0,5.0,2.0,1.0,0.0,4.0,2.0,7.0,5.0,0.0,1.0,0,0,0,0,0,0,1.75,3.25,4.0,1.75,3.2,4.0,1.615,3.25,5.0,,,,1.55,3.5,4.8,DE,2001/2002
D2,2002-06-02,Aachen,Ahlen,1,2,A,0,1,A,8458,"Margenberg, D.",6.0,7.0,3.0,3.0,0.0,0.0,1.0,1.0,17.0,21.0,2.0,2.0,3,1,0,0,30,10,2.0,3.15,3.25,2.1,3.0,3.1,2.1,3.1,3.1,,,,2.1,3.15,2.9,DE,2001/2002
D2,2002-06-02,Bochum,Hannover,4,2,H,2,2,D,13042,"Pickel, M.",16.0,7.0,9.0,4.0,0.0,1.0,2.0,1.0,15.0,12.0,0.0,0.0,1,4,0,0,10,40,2.37,3.1,2.62,2.4,3.0,2.6,2.5,3.1,2.5,,,,2.4,3.0,2.6,DE,2001/2002
D2,2002-06-02,Karlsruhe,Mainz,1,4,A,1,3,A,10200,"Strampe, H",6.0,9.0,2.0,5.0,0.0,0.0,6.0,0.0,17.0,19.0,2.0,3.0,3,2,0,1,30,45,2.4,3.1,2.6,2.3,3.0,2.7,2.625,3.1,2.375,,,,2.3,3.15,2.6,DE,2001/2002
D2,2002-06-02,Unterhaching,Oberhausen,1,1,D,0,1,A,2000,Scheppe. D,13.0,4.0,8.0,2.0,0.0,0.0,3.0,1.0,9.0,7.0,0.0,0.0,0,0,0,0,0,0,1.7,3.25,4.3,1.7,3.2,4.2,1.727,3.1,4.5,,,,1.65,3.35,4.25,DE,2001/2002
D2,2002-07-02,Union Berlin,Babelsberg,2,0,H,2,0,H,15000,"Anklam, M",10.0,11.0,5.0,2.0,1.0,1.0,2.0,1.0,9.0,11.0,1.0,1.0,1,2,0,0,10,20,1.5,3.5,5.75,1.6,3.4,4.6,1.4,3.75,7.0,,,,1.45,3.55,6.0,DE,2001/2002
D2,2002-08-02,Mannheim,Greuther Furth,1,4,A,0,1,A,5000,"Merk, M",6.0,14.0,3.0,7.0,0.0,1.0,2.0,4.0,14.0,8.0,0.0,0.0,1,1,0,0,10,10,2.2,3.1,2.9,2.2,3.0,2.9,2.2,3.1,2.875,2.25,3.2,2.75,2.25,3.15,2.65,DE,2001/2002
D2,2002-08-02,Saarbrucken,Bielefeld,0,2,A,0,0,D,7000,"Weber, S",10.0,11.0,3.0,4.0,0.0,1.0,6.0,4.0,9.0,7.0,1.0,3.0,2,1,0,0,20,10,2.8,3.1,2.25,2.7,3.0,2.3,2.875,3.1,2.2,2.8,3.2,2.2,2.85,3.1,2.15,DE,2001/2002
D2,2002-08-02,Schweinfurt,Duisburg,2,2,D,1,0,H,4350,"Kessler, J",5.0,8.0,4.0,6.0,0.0,0.0,3.0,5.0,10.0,8.0,0.0,0.0,2,1,0,0,20,10,2.4,3.1,2.6,2.5,3.0,2.5,2.4,3.1,2.6,2.5,3.2,2.4,2.5,3.1,2.4,DE,2001/2002
D2,2002-09-02,Ahlen,Unterhaching,2,0,H,0,0,D,4225,"Weiner, M",5.0,4.0,3.0,2.0,1.0,0.0,5.0,2.0,14.0,17.0,4.0,1.0,2,2,0,0,20,20,1.85,3.2,3.7,1.75,3.2,4.0,1.75,3.25,4.0,1.727,3.2,4.333,1.7,3.3,4.1,DE,2001/2002
D2,2002-09-02,Ein Frankfurt,Karlsruhe,3,1,H,2,0,H,13800,"Koop, T",9.0,8.0,5.0,2.0,0.0,0.0,2.0,3.0,19.0,21.0,5.0,1.0,4,6,0,1,40,85,1.7,3.2,4.5,1.7,3.2,4.2,1.7,3.25,4.333,1.667,3.4,4.333,1.75,3.25,3.85,DE,2001/2002
