Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,Country,Season
I2,2002-09-14,Ancona,Palermo,4,2,H,3.0,1.0,H,2.25,2.75,3.2,2.35,2.7,3.15,2.3,2.6,2.8,,,,2.2,2.75,3.2,2.35,2.65,3.0,1.83,1.8,IT,2002/2003
I2,2002-09-14,Bari,Ascoli,2,0,H,1.0,0.0,H,1.727,2.875,5.0,1.7,2.85,5.65,1.65,2.7,4.8,,,,1.667,2.875,5.5,1.7,2.7,5.5,1.8,1.8,IT,2002/2003
I2,2002-09-14,Cagliari,Napoli,2,2,D,1.0,2.0,A,2.375,2.7,3.0,2.4,2.65,3.1,2.3,2.6,2.8,,,,2.375,2.7,3.0,2.3,2.6,3.15,1.92,1.7,IT,2002/2003
I2,2002-09-14,Catania,Genoa,3,2,H,3.0,0.0,H,2.25,2.75,3.2,2.25,2.65,3.4,2.2,2.6,3.0,,,,2.25,2.7,3.2,2.1,2.65,3.5,1.9,1.7,IT,2002/2003
I2,2002-09-14,Cosenza,Vicenza,2,1,H,1.0,1.0,D,2.375,2.7,3.0,2.5,2.62,3.0,2.4,2.6,2.7,,,,2.4,2.625,3.0,2.45,2.6,2.9,1.95,1.65,IT,2002/2003
I2,2002-09-14,Salernitana,Ternana,0,3,A,0.0,1.0,A,1.833,2.875,4.333,1.8,2.85,4.75,1.75,2.7,4.2,,,,1.8,2.875,4.5,1.75,2.8,4.75,1.8,1.82,IT,2002/2003
I2,2002-09-14,Sampdoria,Lecce,4,2,H,1.0,1.0,D,1.727,2.875,5.0,1.75,2.85,5.15,1.75,2.7,4.2,,,,1.8,2.875,4.5,1.8,2.7,4.75,1.8,1.8,IT,2002/2003
I2,2002-09-14,Siena,Messina,1,0,H,0.0,0.0,D,2.0,2.75,3.8,2.0,2.65,4.25,1.9,2.6,3.8,,,,2.0,2.75,3.75,1.85,2.65,4.6,1.95,1.65,IT,2002/2003
I2,2002-09-14,Triestina,Venezia,1,2,A,0.0,1.0,A,2.1,2.75,3.5,2.1,2.7,3.75,2.1,2.6,3.3,,,,2.1,2.75,3.4,2.2,2.7,3.2,1.9,1.7,IT,2002/2003
I2,2002-09-14,Verona,Livorno,0,1,A,0.0,1.0,A,1.727,2.875,5.0,1.82,2.85,5.15,1.7,2.7,4.4,,,,1.667,2.875,5.5,1.6,3.0,5.5,1.85,1.75,IT,2002/2003
