Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Country,Season
I1,1996-08-09,Bologna,Lazio,1.0,0.0,H,1.0,0.0,H,IT,1996/1997
I1,1996-08-09,Cagliari,Atalanta,2.0,0.0,H,1.0,0.0,H,IT,1996/1997
I1,1996-08-09,Fiorentina,Vicenza,2.0,4.0,A,1.0,2.0,A,IT,1996/1997
I1,1996-08-09,Milan,Verona,4.0,1.0,H,0.0,1.0,A,IT,1996/1997
I1,1996-08-09,Parma,Napoli,3.0,0.0,H,1.0,0.0,H,IT,1996/1997
I1,1996-08-09,Perugia,Sampdoria,1.0,0.0,H,1.0,0.0,H,IT,1996/1997
I1,1996-08-09,Reggiana,Juventus,1.0,1.0,D,1.0,1.0,D,IT,1996/1997
I1,1996-08-09,Roma,Piacenza,3.0,1.0,H,2.0,0.0,H,IT,1996/1997
I1,1996-08-09,Udinese,Inter,0.0,1.0,A,0.0,1.0,A,IT,1996/1997
I1,1996-09-15,Atalanta,Fiorentina,2.0,2.0,D,0.0,1.0,A,IT,1996/1997
I1,1996-09-15,Inter,Perugia,1.0,0.0,H,0.0,0.0,D,IT,1996/1997
I1,1996-09-15,Juventus,Cagliari,2.0,1.0,H,1.0,0.0,H,IT,1996/1997
I1,1996-09-15,Lazio,Udinese,0.0,1.0,A,0.0,0.0,D,IT,1996/1997
I1,1996-09-15,Napoli,Reggiana,1.0,0.0,H,1.0,0.0,H,IT,1996/1997
I1,1996-09-15,Piacenza,Parma,0.0,0.0,D,0.0,0.0,D,IT,1996/1997
I1,1996-09-15,Sampdoria,Milan,2.0,1.0,H,0.0,1.0,A,IT,1996/1997
I1,1996-09-15,Verona,Bologna,0.0,2.0,A,0.0,1.0,A,IT,1996/1997
I1,1996-09-15,Vicenza,Roma,0.0,2.0,A,0.0,1.0,A,IT,1996/1997
I1,1996-09-22,Bologna,Milan,1.0,2.0,A,0.0,0.0,D,IT,1996/1997
