Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,Country,Season
I2,1997-08-31,Ancona,Torino,1,0,H,IT,1997/1998
I2,1997-08-31,Cagliari,Treviso,2,0,H,IT,1997/1998
I2,1997-08-31,Chievo,Reggina,1,0,H,IT,1997/1998
I2,1997-08-31,Lucchese,Ravenna,2,1,H,IT,1997/1998
I2,1997-08-31,Monza,Pescara,1,1,D,IT,1997/1998
I2,1997-08-31,Padova,C. Sangro,0,1,A,IT,1997/1998
I2,1997-08-31,Perugia,F. Andria,4,1,H,IT,1997/1998
I2,1997-08-31,Reggiana,Foggia,1,0,H,IT,1997/1998
I2,1997-08-31,Salernitana,Verona,2,0,H,IT,1997/1998
I2,1997-08-31,Venezia,Genoa,2,0,H,IT,1997/1998
I2,1997-07-09,C. Sangro,Ancona,1,1,D,IT,1997/1998
I2,1997-07-09,F. Andria,Chievo,1,0,H,IT,1997/1998
I2,1997-07-09,Foggia,Venezia,1,2,A,IT,1997/1998
I2,1997-07-09,Genoa,Lucchese,1,1,D,IT,1997/1998
I2,1997-07-09,Pescara,Cagliari,0,1,A,IT,1997/1998
I2,1997-07-09,Ravenna,Perugia,0,0,D,IT,1997/1998
I2,1997-07-09,Reggina,Reggiana,1,0,H,IT,1997/1998
I2,1997-07-09,Torino,Padova,2,1,H,IT,1997/1998
I2,1997-07-09,Treviso,Salernitana,1,1,D,IT,1997/1998
I2,1997-07-09,Verona,Monza,3,2,H,IT,1997/1998
I2,1997-09-14,Ancona,Genoa,4,3,H,IT,1997/1998
I2,1997-09-14,Cagliari,C. Sangro,1,1,D,IT,1997/1998
I2,1997-09-14,Chievo,Salernitana,1,1,D,IT,1997/1998
I2,1997-09-14,F. Andria,Pescara,3,0,H,IT,1997/1998
I2,1997-09-14,Monza,Venezia,1,0,H,IT,1997/1998
I2,1997-09-14,Padova,Verona,0,0,D,IT,1997/1998
I2,1997-09-14,Perugia,Lucchese,1,0,H,IT,1997/1998
I2,1997-09-14,Reggiana,Ravenna,1,1,D,IT,1997/1998
I2,1997-09-14,Reggina,Treviso,0,0,D,IT,1997/1998
I2,1997-09-14,Torino,Foggia,1,1,D,IT,1997/1998
I2,1997-09-21,C. Sangro,F. Andria,3,3,D,IT,1997/1998
I2,1997-09-21,Foggia,Reggina,3,2,H,IT,1997/1998
I2,1997-09-21,Genoa,Chievo,0,1,A,IT,1997/1998
I2,1997-09-21,Lucchese,Padova,2,0,H,IT,1997/1998
I2,1997-09-21,Pescara,Torino,3,0,H,IT,1997/1998
I2,1997-09-21,Ravenna,Ancona,2,0,H,IT,1997/1998
I2,1997-09-21,Salernitana,Reggiana,4,0,H,IT,1997/1998
I2,1997-09-21,Treviso,Monza,3,0,H,IT,1997/1998
I2,1997-09-21,Venezia,Perugia,2,0,H,IT,1997/1998
I2,1997-09-21,Verona,Cagliari,2,1,H,IT,1997/1998
I2,1997-09-28,Ancona,Venezia,0,1,A,IT,1997/1998
I2,1997-09-28,C. Sangro,Ravenna,2,1,H,IT,1997/1998
I2,1997-09-28,Cagliari,Foggia,1,1,D,IT,1997/1998
I2,1997-09-28,Chievo,Reggiana,1,0,H,IT,1997/1998
I2,1997-09-28,F. Andria,Lucchese,3,0,H,IT,1997/1998
I2,1997-09-28,Padova,Salernitana,0,0,D,IT,1997/1998
I2,1997-09-28,Perugia,Treviso,2,1,H,IT,1997/1998
I2,1997-09-28,Pescara,Verona,1,1,D,IT,1997/1998
