Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,Country,Season
E4,1996-08-17,Brighton,Chester,2,1,H,EN,1996/1997
E4,1996-08-17,Cambridge,Barnet,1,0,H,EN,1996/1997
E4,1996-08-17,Colchester,Hartlepool,0,2,A,EN,1996/1997
E4,1996-08-17,Doncaster,Carlisle,0,1,A,EN,1996/1997
E4,1996-08-17,Fulham,Hereford,1,0,H,EN,1996/1997
E4,1996-08-17,Hull,Darlington,3,2,H,EN,1996/1997
E4,1996-08-17,Leyton Orient,Scunthorpe,0,1,A,EN,1996/1997
E4,1996-08-17,Mansfield,Exeter,0,1,A,EN,1996/1997
E4,1996-08-17,Scarborough,Cardiff,0,0,D,EN,1996/1997
E4,1996-08-17,Swansea,Rochdale,2,1,H,EN,1996/1997
E4,1996-08-17,Torquay,Lincoln,2,1,H,EN,1996/1997
E4,1996-08-17,Wigan,Northampton,2,1,H,EN,1996/1997
E4,1996-08-24,Barnet,Wigan,1,1,D,EN,1996/1997
E4,1996-08-24,Cardiff,Brighton,1,0,H,EN,1996/1997
E4,1996-08-24,Carlisle,Hull,0,0,D,EN,1996/1997
E4,1996-08-24,Chester,Cambridge,1,1,D,EN,1996/1997
E4,1996-08-24,Darlington,Swansea,4,1,H,EN,1996/1997
E4,1996-08-24,Exeter,Scarborough,2,2,D,EN,1996/1997
E4,1996-08-24,Hartlepool,Fulham,2,1,H,EN,1996/1997
E4,1996-08-24,Hereford,Doncaster,1,0,H,EN,1996/1997
E4,1996-08-24,Lincoln,Leyton Orient,1,1,D,EN,1996/1997
E4,1996-08-24,Northampton,Mansfield,3,0,H,EN,1996/1997
E4,1996-08-24,Rochdale,Colchester,0,0,D,EN,1996/1997
E4,1996-08-24,Scunthorpe,Torquay,1,0,H,EN,1996/1997
E4,1996-08-27,Barnet,Brighton,3,0,H,EN,1996/1997
E4,1996-08-27,Cardiff,Wigan,0,2,A,EN,1996/1997
E4,1996-08-27,Carlisle,Leyton Orient,1,0,H,EN,1996/1997
E4,1996-08-27,Chester,Swansea,2,0,H,EN,1996/1997
E4,1996-08-27,Darlington,Colchester,1,1,D,EN,1996/1997
E4,1996-08-27,Exeter,Doncaster,1,1,D,EN,1996/1997
E4,1996-08-27,Hartlepool,Mansfield,2,2,D,EN,1996/1997
E4,1996-08-27,Hereford,Hull,0,1,A,EN,1996/1997
E4,1996-08-27,Lincoln,Cambridge,1,1,D,EN,1996/1997
E4,1996-08-27,Northampton,Torquay,1,1,D,EN,1996/1997
E4,1996-08-27,Rochdale,Fulham,1,2,A,EN,1996/1997
E4,1996-08-27,Scunthorpe,Scarborough,0,2,A,EN,1996/1997
E4,1996-08-30,Swansea,Lincoln,1,2,A,EN,1996/1997
E4,1996-08-31,Brighton,Scunthorpe,1,1,D,EN,1996/1997
E4,1996-08-31,Cambridge,Cardiff,0,2,A,EN,1996/1997
E4,1996-08-31,Colchester,Hereford,1,1,D,EN,1996/1997
E4,1996-08-31,Doncaster,Darlington,3,2,H,EN,1996/1997
E4,1996-08-31,Fulham,Carlisle,1,0,H,EN,1996/1997
E4,1996-08-31,Hull,Barnet,0,0,D,EN,1996/1997
E4,1996-08-31,Leyton Orient,Hartlepool,2,0,H,EN,1996/1997
E4,1996-08-31,Mansfield,Rochdale,0,0,D,EN,1996/1997
E4,1996-08-31,Scarborough,Northampton,1,1,D,EN,1996/1997
E4,1996-08-31,Torquay,Exeter,2,0,H,EN,1996/1997
E4,1996-08-31,Wigan,Chester,4,2,H,EN,1996/1997
E4,1996-07-09,Barnet,Northampton,1,1,D,EN,1996/1997
E4,1996-07-09,Brighton,Scarborough,3,2,H,EN,1996/1997
E4,1996-07-09,Cambridge,Torquay,2,1,H,EN,1996/1997
E4,1996-07-09,Cardiff,Exeter,2,1,H,EN,1996/1997
E4,1996-07-09,Carlisle,Swansea,4,1,H,EN,1996/1997
E4,1996-07-09,Chester,Lincoln,4,1,H,EN,1996/1997
E4,1996-07-09,Doncaster,Mansfield,0,0,D,EN,1996/1997
E4,1996-07-09,Fulham,Colchester,3,1,H,EN,1996/1997
E4,1996-07-09,Hereford,Hartlepool,0,1,A,EN,1996/1997
E4,1996-07-09,Hull,Rochdale,1,1,D,EN,1996/1997
E4,1996-07-09,Leyton Orient,Darlington,0,0,D,EN,1996/1997
E4,1996-07-09,Wigan,Scunthorpe,3,0,H,EN,1996/1997
E4,1996-10-09,Colchester,Brighton,2,0,H,EN,1996/1997
E4,1996-10-09,Darlington,Wigan,3,1,H,EN,1996/1997
E4,1996-10-09,Exeter,Fulham,0,1,A,EN,1996/1997
E4,1996-10-09,Hartlepool,Carlisle,1,2,A,EN,1996/1997
E4,1996-10-09,Lincoln,Hull,0,1,A,EN,1996/1997
E4,1996-10-09,Mansfield,Barnet,0,0,D,EN,1996/1997
E4,1996-10-09,Northampton,Leyton Orient,0,1,A,EN,1996/1997
E4,1996-10-09,Rochdale,Chester,0,1,A,EN,1996/1997
E4,1996-10-09,Scarborough,Doncaster,2,1,H,EN,1996/1997
