Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Country,Season
D2,1999-08-13,Chemnitz,M'gladbach,2.0,0.0,H,0.0,0.0,D,DE,1999/2000
D2,1999-08-13,Cottbus,F Koln,2.0,0.0,H,0.0,0.0,D,DE,1999/2000
D2,1999-08-13,Mainz,Offenbach,1.0,1.0,D,1.0,1.0,D,DE,1999/2000
D2,1999-08-13,St Pauli,Greuther Furth,0.0,0.0,D,0.0,0.0,D,DE,1999/2000
D2,1999-08-14,FC Koln,Oberhausen,1.0,0.0,H,0.0,0.0,D,DE,1999/2000
D2,1999-08-15,Aachen,Stuttgarter K,4.0,1.0,H,1.0,1.0,D,DE,1999/2000
D2,1999-08-15,Hannover,TB Berlin,2.0,3.0,A,2.0,2.0,D,DE,1999/2000
D2,1999-08-15,Nurnberg,Mannheim,3.0,0.0,H,1.0,0.0,H,DE,1999/2000
D2,1999-08-16,Karlsruhe,Bochum,1.0,3.0,A,0.0,1.0,A,DE,1999/2000
D2,1999-08-20,Bochum,Aachen,5.0,0.0,H,1.0,0.0,H,DE,1999/2000
D2,1999-08-20,Greuther Furth,FC Koln,0.0,0.0,D,0.0,0.0,D,DE,1999/2000
D2,1999-08-20,Mannheim,Chemnitz,4.0,0.0,H,2.0,0.0,H,DE,1999/2000
D2,1999-08-21,TB Berlin,Karlsruhe,2.0,2.0,D,1.0,1.0,D,DE,1999/2000
D2,1999-08-22,F Koln,Mainz,2.0,1.0,H,1.0,1.0,D,DE,1999/2000
D2,1999-08-22,M'gladbach,Hannover,2.0,3.0,A,1.0,1.0,D,DE,1999/2000
D2,1999-08-22,Oberhausen,Cottbus,0.0,4.0,A,0.0,1.0,A,DE,1999/2000
D2,1999-08-22,Stuttgarter K,St Pauli,2.0,1.0,H,1.0,0.0,H,DE,1999/2000
D2,1999-08-23,Offenbach,Nurnberg,1.0,3.0,A,1.0,0.0,H,DE,1999/2000
D2,1999-08-27,Chemnitz,Offenbach,3.0,0.0,H,1.0,0.0,H,DE,1999/2000
D2,1999-08-27,FC Koln,Stuttgarter K,4.0,1.0,H,2.0,1.0,H,DE,1999/2000
D2,1999-08-27,Hannover,Mannheim,2.0,2.0,D,1.0,0.0,H,DE,1999/2000
D2,1999-08-28,Aachen,TB Berlin,2.0,2.0,D,0.0,0.0,D,DE,1999/2000
D2,1999-08-29,Cottbus,Mainz,3.0,0.0,H,2.0,0.0,H,DE,1999/2000
D2,1999-08-29,Nurnberg,F Koln,2.0,1.0,H,1.0,0.0,H,DE,1999/2000
D2,1999-08-29,Oberhausen,Greuther Furth,3.0,4.0,A,3.0,1.0,H,DE,1999/2000
D2,1999-08-29,St Pauli,Bochum,0.0,0.0,D,0.0,0.0,D,DE,1999/2000
D2,1999-08-30,Karlsruhe,M'gladbach,3.0,0.0,H,1.0,0.0,H,DE,1999/2000
D2,1999-10-09,Mannheim,Karlsruhe,1.0,1.0,D,1.0,1.0,D,DE,1999/2000
D2,1999-10-09,Offenbach,Hannover,0.0,2.0,A,0.0,1.0,A,DE,1999/2000
D2,1999-10-09,TB Berlin,St Pauli,2.0,0.0,H,0.0,0.0,D,DE,1999/2000
D2,1999-11-09,M'gladbach,Aachen,1.0,2.0,A,1.0,2.0,A,DE,1999/2000
D2,1999-12-09,F Koln,Chemnitz,1.0,0.0,H,1.0,0.0,H,DE,1999/2000
D2,1999-12-09,Greuther Furth,Cottbus,1.0,0.0,H,0.0,0.0,D,DE,1999/2000
D2,1999-12-09,Mainz,Nurnberg,1.0,1.0,D,1.0,0.0,H,DE,1999/2000
D2,1999-12-09,Stuttgarter K,Oberhausen,2.0,2.0,D,0.0,2.0,A,DE,1999/2000
D2,1999-09-13,Bochum,FC Koln,2.0,3.0,A,1.0,1.0,D,DE,1999/2000
D2,1999-09-17,Karlsruhe,Offenbach,1.0,1.0,D,0.0,1.0,A,DE,1999/2000
D2,1999-09-17,Oberhausen,Bochum,3.0,0.0,H,1.0,0.0,H,DE,1999/2000
D2,1999-09-17,St Pauli,M'gladbach,0.0,2.0,A,0.0,2.0,A,DE,1999/2000
D2,1999-09-18,Chemnitz,Mainz,1.0,1.0,D,1.0,0.0,H,DE,1999/2000
D2,1999-09-19,Aachen,Mannheim,2.0,1.0,H,0.0,1.0,A,DE,1999/2000
D2,1999-09-19,Cottbus,Nurnberg,2.0,0.0,H,1.0,0.0,H,DE,1999/2000
D2,1999-09-19,Greuther Furth,Stuttgarter K,0.0,0.0,D,0.0,0.0,D,DE,1999/2000
D2,1999-09-19,Hannover,F Koln,3.0,1.0,H,2.0,0.0,H,DE,1999/2000
D2,1999-09-20,FC Koln,TB Berlin,1.0,1.0,D,0.0,1.0,A,DE,1999/2000
D2,1999-09-24,Bochum,Greuther Furth,1.0,2.0,A,0.0,1.0,A,DE,1999/2000
D2,1999-09-24,Mainz,Hannover,1.0,0.0,H,0.0,0.0,D,DE,1999/2000
D2,1999-09-24,Nurnberg,Chemnitz,1.0,0.0,H,1.0,0.0,H,DE,1999/2000
D2,1999-09-25,F Koln,Karlsruhe,2.0,3.0,A,1.0,1.0,D,DE,1999/2000
D2,1999-09-26,Mannheim,St Pauli,1.0,3.0,A,1.0,1.0,D,DE,1999/2000
D2,1999-09-26,Offenbach,Aachen,1.0,2.0,A,0.0,0.0,D,DE,1999/2000
D2,1999-09-26,Stuttgarter K,Cottbus,1.0,0.0,H,0.0,0.0,D,DE,1999/2000
D2,1999-09-26,TB Berlin,Oberhausen,1.0,0.0,H,1.0,0.0,H,DE,1999/2000
D2,1999-09-27,M'gladbach,FC Koln,3.0,1.0,H,0.0,1.0,A,DE,1999/2000
D2,1999-01-10,Aachen,F Koln,1.0,1.0,D,0.0,0.0,D,DE,1999/2000
D2,1999-01-10,FC Koln,Mannheim,3.0,0.0,H,2.0,0.0,H,DE,1999/2000
D2,1999-01-10,St Pauli,Offenbach,1.0,1.0,D,0.0,1.0,A,DE,1999/2000
D2,1999-02-10,Karlsruhe,Mainz,1.0,2.0,A,0.0,0.0,D,DE,1999/2000
D2,1999-03-10,Cottbus,Chemnitz,2.0,4.0,A,1.0,1.0,D,DE,1999/2000
D2,1999-03-10,Greuther Furth,TB Berlin,2.0,0.0,H,2.0,0.0,H,DE,1999/2000
D2,1999-03-10,Oberhausen,M'gladbach,1.0,1.0,D,0.0,0.0,D,DE,1999/2000
D2,1999-03-10,Stuttgarter K,Bochum,0.0,0.0,D,0.0,0.0,D,DE,1999/2000
D2,1999-04-10,Hannover,Nurnberg,2.0,0.0,H,0.0,0.0,D,DE,1999/2000
D2,1999-10-15,F Koln,St Pauli,2.0,0.0,H,0.0,0.0,D,DE,1999/2000
D2,1999-10-15,M'gladbach,Greuther Furth,2.0,0.0,H,0.0,0.0,D,DE,1999/2000
D2,1999-10-15,Offenbach,FC Koln,0.0,1.0,A,0.0,0.0,D,DE,1999/2000
D2,1999-10-16,Bochum,Cottbus,2.0,4.0,A,0.0,1.0,A,DE,1999/2000
D2,1999-10-17,Chemnitz,Hannover,2.0,1.0,H,0.0,0.0,D,DE,1999/2000
D2,1999-10-17,Mainz,Aachen,4.0,2.0,H,1.0,1.0,D,DE,1999/2000
D2,1999-10-17,Mannheim,Oberhausen,2.0,0.0,H,0.0,0.0,D,DE,1999/2000
D2,1999-10-17,TB Berlin,Stuttgarter K,2.0,0.0,H,0.0,0.0,D,DE,1999/2000
D2,1999-10-18,Nurnberg,Karlsruhe,4.0,3.0,H,1.0,2.0,A,DE,1999/2000
D2,1999-10-22,Aachen,Nurnberg,3.0,1.0,H,1.0,0.0,H,DE,1999/2000
D2,1999-10-22,Cottbus,Hannover,1.0,0.0,H,0.0,0.0,D,DE,1999/2000
D2,1999-10-22,Oberhausen,Offenbach,1.0,0.0,H,0.0,0.0,D,DE,1999/2000
D2,1999-10-23,Stuttgarter K,M'gladbach,3.0,1.0,H,0.0,0.0,D,DE,1999/2000
D2,1999-10-24,Bochum,TB Berlin,2.0,6.0,A,1.0,3.0,A,DE,1999/2000
D2,1999-10-24,Greuther Furth,Mannheim,0.0,0.0,D,0.0,0.0,D,DE,1999/2000
D2,1999-10-24,Karlsruhe,Chemnitz,1.0,2.0,A,0.0,0.0,D,DE,1999/2000
D2,1999-10-24,St Pauli,Mainz,2.0,2.0,D,1.0,1.0,D,DE,1999/2000
D2,1999-10-25,FC Koln,F Koln,3.0,0.0,H,2.0,0.0,H,DE,1999/2000
D2,1999-10-29,Mainz,FC Koln,0.0,0.0,D,0.0,0.0,D,DE,1999/2000
D2,1999-10-29,Mannheim,Stuttgarter K,4.0,3.0,H,2.0,1.0,H,DE,1999/2000
D2,1999-10-29,Nurnberg,St Pauli,2.0,2.0,D,1.0,1.0,D,DE,1999/2000
D2,1999-10-30,TB Berlin,Cottbus,1.0,3.0,A,1.0,0.0,H,DE,1999/2000
D2,1999-10-31,Chemnitz,Aachen,2.0,2.0,D,1.0,2.0,A,DE,1999/2000
D2,1999-10-31,F Koln,Oberhausen,0.0,0.0,D,0.0,0.0,D,DE,1999/2000
D2,1999-10-31,Hannover,Karlsruhe,1.0,1.0,D,1.0,1.0,D,DE,1999/2000
D2,1999-10-31,Offenbach,Greuther Furth,1.0,0.0,H,0.0,0.0,D,DE,1999/2000
D2,1999-01-11,M'gladbach,Bochum,0.0,1.0,A,0.0,1.0,A,DE,1999/2000
D2,1999-05-11,Aachen,Hannover,1.0,2.0,A,1.0,0.0,H,DE,1999/2000
D2,1999-05-11,Bochum,Mannheim,2.0,0.0,H,1.0,0.0,H,DE,1999/2000
D2,1999-05-11,St Pauli,Chemnitz,0.0,0.0,D,0.0,0.0,D,DE,1999/2000
D2,1999-06-11,Cottbus,Karlsruhe,3.0,2.0,H,3.0,2.0,H,DE,1999/2000
D2,1999-07-11,FC Koln,Nurnberg,6.0,1.0,H,3.0,0.0,H,DE,1999/2000
D2,1999-07-11,Greuther Furth,F Koln,0.0,0.0,D,0.0,0.0,D,DE,1999/2000
D2,1999-07-11,Oberhausen,Mainz,0.0,0.0,D,0.0,0.0,D,DE,1999/2000
D2,1999-07-11,Stuttgarter K,Offenbach,2.0,1.0,H,0.0,0.0,D,DE,1999/2000
D2,1999-08-11,TB Berlin,M'gladbach,2.0,2.0,D,1.0,1.0,D,DE,1999/2000
D2,1999-11-19,F Koln,Stuttgarter K,1.0,1.0,D,1.0,0.0,H,DE,1999/2000
D2,1999-11-19,Hannover,St Pauli,1.0,2.0,A,1.0,1.0,D,DE,1999/2000
D2,1999-11-19,Mannheim,TB Berlin,0.0,0.0,D,0.0,0.0,D,DE,1999/2000
D2,1999-11-19,Offenbach,Bochum,2.0,1.0,H,0.0,0.0,D,DE,1999/2000
