Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,GBH,GBD,GBA,IWH,IWD,IWA,SYH,SYD,SYA,WHH,WHD,WHA,Country,Season
I2,2002-04-14,Cittadella,Sampdoria,1,1,D,1,0,H,2.35,2.6,3.1,,,,,,,2.4,2.5,3.1,IT,2001/2002
I2,2002-05-19,Cagliari,Cosenza,2,1,H,2,0,H,2.0,2.0,7.5,,,,,,,,,,IT,2001/2002
I2,2002-05-19,Cittadella,Siena,1,1,D,1,1,D,3.5,3.3,1.8,,,,,,,,,,IT,2001/2002
I2,2002-05-19,Crotone,Ternana,2,3,A,1,2,A,6.5,3.85,1.35,,,,,,,,,,IT,2001/2002
I2,2002-05-19,Empoli,Genoa,1,0,H,0,0,D,1.27,4.5,8.5,,,,,,,,,,IT,2001/2002
I2,2002-05-19,Modena,Ancona,0,0,D,0,0,D,2.4,1.7,7.25,,,,,,,,,,IT,2001/2002
I2,2002-05-19,Napoli,Pistoiese,3,1,H,1,0,H,1.37,3.65,7.5,,,,,,,,,,IT,2001/2002
I2,2002-05-19,Palermo,Salernitana,1,1,D,1,0,H,2.37,1.7,6.3,,,,,,,,,,IT,2001/2002
I2,2002-05-19,Reggina,Vicenza,2,0,H,1,0,H,1.1,5.5,10.0,,,,,,,,,,IT,2001/2002
I2,2002-05-19,Sampdoria,Como,2,1,H,0,0,D,1.5,2.85,8.0,,,,,,,,,,IT,2001/2002
I2,2002-05-26,Ancona,Empoli,3,2,H,1,1,D,,,,,,,,,,,,,IT,2001/2002
I2,2002-05-26,Como,Cittadella,4,3,H,1,1,D,,,,,,,,,,,,,IT,2001/2002
I2,2002-05-26,Cosenza,Palermo,3,2,H,2,0,H,,,,,,,,,,,,,IT,2001/2002
I2,2002-05-26,Genoa,Cagliari,3,3,D,2,2,D,,,,,,,,,,,,,IT,2001/2002
I2,2002-05-26,Messina,Modena,2,0,H,1,0,H,,,,,,,,,,,,,IT,2001/2002
I2,2002-05-26,Pistoiese,Crotone,4,1,H,4,1,H,,,,,,,,,,,,,IT,2001/2002
I2,2002-05-26,Salernitana,Bari,2,3,A,1,1,D,,,,,,,,,,,,,IT,2001/2002
I2,2002-05-26,Siena,Napoli,2,1,H,0,0,D,,,,,,,,,,,,,IT,2001/2002
I2,2002-05-26,Ternana,Reggina,1,0,H,1,0,H,,,,,,,,,,,,,IT,2001/2002
I2,2002-05-26,Vicenza,Sampdoria,0,1,A,0,1,A,,,,,,,,,,,,,IT,2001/2002
I2,2002-02-06,Bari,Ternana,2,1,H,2,0,H,,,,,,,,,,,,,IT,2001/2002
I2,2002-02-06,Cagliari,Vicenza,2,2,D,1,0,H,,,,,,,,,,,,,IT,2001/2002
I2,2002-02-06,Cittadella,Pistoiese,2,1,H,1,1,D,,,,,,,,,,,,,IT,2001/2002
I2,2002-02-06,Crotone,Messina,1,2,A,1,2,A,,,,,,,,,,,,,IT,2001/2002
I2,2002-02-06,Empoli,Cosenza,1,2,A,1,2,A,,,,,,,,,,,,,IT,2001/2002
I2,2002-02-06,Modena,Salernitana,5,2,H,1,0,H,,,,,,,,,,,,,IT,2001/2002
I2,2002-02-06,Napoli,Como,1,2,A,1,2,A,,,,,,,,,,,,,IT,2001/2002
I2,2002-02-06,Palermo,Ancona,2,3,A,1,2,A,,,,,,,,,,,,,IT,2001/2002
I2,2002-02-06,Reggina,Genoa,2,2,D,1,2,A,,,,,,,,,,,,,IT,2001/2002
I2,2002-02-06,Sampdoria,Siena,0,1,A,0,0,D,,,,,,,,,,,,,IT,2001/2002
