Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Country,Season
E2,1998-08-08,Barnsley,West Brom,2,2,D,1,2,A,EN,1998/1999
E2,1998-08-08,Bradford,Stockport,1,2,A,0,1,A,EN,1998/1999
E2,1998-08-08,Bristol City,Oxford,2,2,D,2,1,H,EN,1998/1999
E2,1998-08-08,Bury,Huddersfield,1,0,H,1,0,H,EN,1998/1999
E2,1998-08-08,Crystal Palace,Bolton,2,2,D,0,1,A,EN,1998/1999
E2,1998-08-08,Norwich,Crewe,2,1,H,2,1,H,EN,1998/1999
E2,1998-08-08,Port Vale,Birmingham,0,2,A,0,1,A,EN,1998/1999
E2,1998-08-08,Portsmouth,Watford,1,2,A,1,0,H,EN,1998/1999
E2,1998-08-08,Sheffield United,Swindon,2,1,H,1,0,H,EN,1998/1999
E2,1998-08-08,Sunderland,QPR,1,0,H,0,0,D,EN,1998/1999
E2,1998-08-08,Wolves,Tranmere,2,0,H,1,0,H,EN,1998/1999
E2,1998-09-08,Grimsby,Ipswich,0,0,D,0,0,D,EN,1998/1999
E2,1998-08-15,Bolton,Grimsby,2,0,H,0,0,D,EN,1998/1999
E2,1998-08-15,Crewe,Barnsley,3,1,H,1,0,H,EN,1998/1999
E2,1998-08-15,Huddersfield,Port Vale,2,1,H,1,0,H,EN,1998/1999
E2,1998-08-22,Portsmouth,Ipswich,0,0,D,0,0,D,EN,1998/1999
E2,1998-08-22,Sheffield United,Birmingham,0,2,A,0,0,D,EN,1998/1999
E2,1998-08-22,Sunderland,Tranmere,5,0,H,2,0,H,EN,1998/1999
E2,1998-08-22,Wolves,Swindon,1,0,H,1,0,H,EN,1998/1999
E2,1998-08-23,Bradford,Bolton,2,2,D,1,1,D,EN,1998/1999
E2,1998-08-25,Sunderland,Watford,4,1,H,3,1,H,EN,1998/1999
E2,1998-08-28,Crewe,Bradford,2,1,H,2,1,H,EN,1998/1999
E2,1998-08-28,Watford,Wolves,0,2,A,0,1,A,EN,1998/1999
E2,1998-08-29,Birmingham,Barnsley,0,0,D,0,0,D,EN,1998/1999
