Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Country,Season
SP1,1999-08-21,Ath Bilbao,Betis,1.0,0.0,H,0.0,0.0,D,ES,1999/2000
SP1,1999-08-21,Mallorca,Real Madrid,1.0,2.0,A,0.0,0.0,D,ES,1999/2000
SP1,1999-08-21,Valencia,Santander,1.0,2.0,A,0.0,1.0,A,ES,1999/2000
SP1,1999-08-22,Ath Madrid,Vallecano,0.0,2.0,A,0.0,1.0,A,ES,1999/2000
SP1,1999-08-22,Barcelona,Zaragoza,2.0,0.0,H,0.0,0.0,D,ES,1999/2000
SP1,1999-08-22,La Coruna,Alaves,4.0,1.0,H,3.0,1.0,H,ES,1999/2000
SP1,1999-08-22,Malaga,Espanol,1.0,0.0,H,0.0,0.0,D,ES,1999/2000
SP1,1999-08-22,Numancia,Valladolid,1.0,0.0,H,1.0,0.0,H,ES,1999/2000
SP1,1999-08-22,Oviedo,Celta,1.0,0.0,H,0.0,0.0,D,ES,1999/2000
SP1,1999-08-22,Sevilla,Sociedad,2.0,2.0,D,2.0,1.0,H,ES,1999/2000
SP1,1999-08-28,Sociedad,Ath Madrid,4.0,1.0,H,0.0,1.0,A,ES,1999/2000
SP1,1999-08-29,Alaves,Malaga,2.0,1.0,H,0.0,1.0,A,ES,1999/2000
SP1,1999-08-29,Betis,La Coruna,0.0,0.0,D,0.0,0.0,D,ES,1999/2000
SP1,1999-08-29,Celta,Sevilla,2.0,1.0,H,1.0,0.0,H,ES,1999/2000
SP1,1999-08-29,Espanol,Valencia,3.0,2.0,H,2.0,0.0,H,ES,1999/2000
SP1,1999-08-29,Real Madrid,Numancia,4.0,1.0,H,0.0,0.0,D,ES,1999/2000
SP1,1999-08-29,Santander,Barcelona,1.0,2.0,A,0.0,2.0,A,ES,1999/2000
SP1,1999-08-29,Valladolid,Ath Bilbao,1.0,0.0,H,1.0,0.0,H,ES,1999/2000
SP1,1999-08-29,Vallecano,Mallorca,2.0,1.0,H,0.0,1.0,A,ES,1999/2000
SP1,1999-08-29,Zaragoza,Oviedo,4.0,0.0,H,2.0,0.0,H,ES,1999/2000
SP1,1999-11-09,Barcelona,Espanol,3.0,0.0,H,0.0,0.0,D,ES,1999/2000
SP1,1999-11-09,La Coruna,Valladolid,2.0,0.0,H,2.0,0.0,H,ES,1999/2000
SP1,1999-11-09,Valencia,Alaves,0.0,2.0,A,0.0,0.0,D,ES,1999/2000
SP1,1999-12-09,Ath Bilbao,Real Madrid,2.0,2.0,D,2.0,1.0,H,ES,1999/2000
SP1,1999-12-09,Ath Madrid,Celta,1.0,2.0,A,1.0,1.0,D,ES,1999/2000
SP1,1999-12-09,Malaga,Betis,3.0,0.0,H,1.0,0.0,H,ES,1999/2000
SP1,1999-12-09,Mallorca,Numancia,3.0,0.0,H,3.0,0.0,H,ES,1999/2000
SP1,1999-12-09,Oviedo,Santander,1.0,2.0,A,0.0,2.0,A,ES,1999/2000
SP1,1999-12-09,Sevilla,Zaragoza,0.0,0.0,D,0.0,0.0,D,ES,1999/2000
SP1,1999-12-09,Vallecano,Sociedad,2.0,1.0,H,1.0,0.0,H,ES,1999/2000
SP1,1999-09-18,Alaves,Barcelona,2.0,1.0,H,1.0,1.0,D,ES,1999/2000
SP1,1999-09-18,Betis,Valencia,1.0,0.0,H,1.0,0.0,H,ES,1999/2000
SP1,1999-09-18,Espanol,Oviedo,2.0,1.0,H,0.0,1.0,A,ES,1999/2000
SP1,1999-09-18,Real Madrid,La Coruna,1.0,1.0,D,0.0,0.0,D,ES,1999/2000
SP1,1999-09-18,Valladolid,Malaga,4.0,2.0,H,1.0,1.0,D,ES,1999/2000
SP1,1999-09-19,Celta,Vallecano,0.0,1.0,A,0.0,0.0,D,ES,1999/2000
SP1,1999-09-19,Numancia,Ath Bilbao,1.0,1.0,D,1.0,1.0,D,ES,1999/2000
SP1,1999-09-19,Santander,Sevilla,2.0,2.0,D,1.0,2.0,A,ES,1999/2000
SP1,1999-09-19,Sociedad,Mallorca,2.0,1.0,H,1.0,0.0,H,ES,1999/2000
