Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Country,Season
SP1,1995-02-09,La Coruna,Valencia,3.0,0.0,H,2.0,0.0,H,ES,1995/1996
SP1,1995-02-09,Sp Gijon,Albacete,3.0,0.0,H,3.0,0.0,H,ES,1995/1996
SP1,1995-03-09,Ath Bilbao,Santander,4.0,0.0,H,2.0,0.0,H,ES,1995/1996
SP1,1995-03-09,Ath Madrid,Sociedad,4.0,1.0,H,1.0,1.0,D,ES,1995/1996
SP1,1995-03-09,Celta,Compostela,0.0,1.0,A,0.0,0.0,D,ES,1995/1996
SP1,1995-03-09,Espanol,Salamanca,3.0,1.0,H,2.0,1.0,H,ES,1995/1996
SP1,1995-03-09,Merida,Betis,1.0,1.0,D,1.0,1.0,D,ES,1995/1996
SP1,1995-03-09,Sevilla,Tenerife,0.0,1.0,A,0.0,0.0,D,ES,1995/1996
SP1,1995-03-09,Valladolid,Barcelona,0.0,2.0,A,0.0,0.0,D,ES,1995/1996
SP1,1995-03-09,Vallecano,Real Madrid,1.0,5.0,A,0.0,1.0,A,ES,1995/1996
SP1,1995-03-09,Zaragoza,Oviedo,1.0,0.0,H,1.0,0.0,H,ES,1995/1996
SP1,1995-09-09,Albacete,Sevilla,3.0,2.0,H,2.0,1.0,H,ES,1995/1996
SP1,1995-09-09,Barcelona,Merida,2.0,2.0,D,1.0,1.0,D,ES,1995/1996
SP1,1995-09-09,Betis,Zaragoza,3.0,1.0,H,2.0,0.0,H,ES,1995/1996
SP1,1995-09-09,Real Madrid,Ath Bilbao,1.0,2.0,A,0.0,0.0,D,ES,1995/1996
SP1,1995-10-09,Compostela,La Coruna,4.0,0.0,H,2.0,0.0,H,ES,1995/1996
SP1,1995-10-09,Oviedo,Vallecano,2.0,0.0,H,1.0,0.0,H,ES,1995/1996
SP1,1995-10-09,Salamanca,Celta,0.0,1.0,A,0.0,0.0,D,ES,1995/1996
SP1,1995-10-09,Santander,Ath Madrid,0.0,4.0,A,0.0,0.0,D,ES,1995/1996
SP1,1995-10-09,Sociedad,Sp Gijon,2.0,0.0,H,1.0,0.0,H,ES,1995/1996
SP1,1995-10-09,Tenerife,Espanol,1.0,4.0,A,0.0,2.0,A,ES,1995/1996
SP1,1995-10-09,Valencia,Valladolid,1.0,0.0,H,0.0,0.0,D,ES,1995/1996
SP1,1995-09-16,Ath Bilbao,Ath Madrid,0.0,2.0,A,0.0,1.0,A,ES,1995/1996
SP1,1995-09-17,Celta,Tenerife,2.0,2.0,D,2.0,2.0,D,ES,1995/1996
SP1,1995-09-17,Espanol,Albacete,1.0,0.0,H,0.0,0.0,D,ES,1995/1996
SP1,1995-09-17,La Coruna,Salamanca,2.0,0.0,H,1.0,0.0,H,ES,1995/1996
SP1,1995-09-17,Merida,Valencia,0.0,2.0,A,0.0,0.0,D,ES,1995/1996
SP1,1995-09-17,Real Madrid,Oviedo,2.0,3.0,A,2.0,2.0,D,ES,1995/1996
SP1,1995-09-17,Sevilla,Sociedad,2.0,1.0,H,1.0,1.0,D,ES,1995/1996
SP1,1995-09-17,Sp Gijon,Santander,4.0,2.0,H,2.0,1.0,H,ES,1995/1996
SP1,1995-09-17,Valladolid,Compostela,0.0,0.0,D,0.0,0.0,D,ES,1995/1996
SP1,1995-09-17,Vallecano,Betis,1.0,2.0,A,1.0,1.0,D,ES,1995/1996
SP1,1995-09-17,Zaragoza,Barcelona,0.0,3.0,A,0.0,0.0,D,ES,1995/1996
SP1,1995-09-23,Barcelona,Vallecano,2.0,0.0,H,1.0,0.0,H,ES,1995/1996
SP1,1995-09-23,Betis,Real Madrid,0.0,0.0,D,0.0,0.0,D,ES,1995/1996
SP1,1995-09-23,Santander,Sevilla,1.0,1.0,D,1.0,1.0,D,ES,1995/1996
SP1,1995-09-24,Albacete,Celta,4.0,0.0,H,0.0,0.0,D,ES,1995/1996
SP1,1995-09-24,Ath Madrid,Sp Gijon,2.0,0.0,H,1.0,0.0,H,ES,1995/1996
SP1,1995-09-24,Compostela,Merida,1.0,0.0,H,1.0,0.0,H,ES,1995/1996
SP1,1995-09-24,Oviedo,Ath Bilbao,0.0,0.0,D,0.0,0.0,D,ES,1995/1996
SP1,1995-09-24,Salamanca,Valladolid,0.0,0.0,D,0.0,0.0,D,ES,1995/1996
SP1,1995-09-24,Sociedad,Espanol,0.0,1.0,A,0.0,1.0,A,ES,1995/1996
SP1,1995-09-24,Tenerife,La Coruna,1.0,1.0,D,0.0,0.0,D,ES,1995/1996
SP1,1995-09-24,Valencia,Zaragoza,0.0,0.0,D,0.0,0.0,D,ES,1995/1996
SP1,1995-09-30,Ath Bilbao,Sp Gijon,2.0,1.0,H,1.0,0.0,H,ES,1995/1996
SP1,1995-09-30,Real Madrid,Barcelona,1.0,1.0,D,1.0,1.0,D,ES,1995/1996
SP1,1995-01-10,Celta,Sociedad,1.0,1.0,D,1.0,1.0,D,ES,1995/1996
SP1,1995-01-10,Espanol,Santander,1.0,0.0,H,0.0,0.0,D,ES,1995/1996
SP1,1995-01-10,La Coruna,Albacete,5.0,0.0,H,1.0,0.0,H,ES,1995/1996
SP1,1995-01-10,Merida,Salamanca,0.0,0.0,D,0.0,0.0,D,ES,1995/1996
SP1,1995-01-10,Oviedo,Betis,0.0,1.0,A,0.0,1.0,A,ES,1995/1996
SP1,1995-01-10,Sevilla,Ath Madrid,0.0,0.0,D,0.0,0.0,D,ES,1995/1996
SP1,1995-01-10,Valladolid,Tenerife,3.0,0.0,H,2.0,0.0,H,ES,1995/1996
SP1,1995-01-10,Vallecano,Valencia,3.0,2.0,H,0.0,0.0,D,ES,1995/1996
SP1,1995-01-10,Zaragoza,Compostela,1.0,0.0,H,1.0,0.0,H,ES,1995/1996
SP1,1995-04-10,Albacete,Valladolid,4.0,2.0,H,2.0,1.0,H,ES,1995/1996
SP1,1995-04-10,Barcelona,Oviedo,4.0,1.0,H,3.0,0.0,H,ES,1995/1996
SP1,1995-04-10,Betis,Ath Bilbao,0.0,0.0,D,0.0,0.0,D,ES,1995/1996
SP1,1995-04-10,Compostela,Vallecano,1.0,0.0,H,1.0,0.0,H,ES,1995/1996
SP1,1995-04-10,Salamanca,Zaragoza,0.0,1.0,A,0.0,1.0,A,ES,1995/1996
SP1,1995-04-10,Santander,Celta,2.0,1.0,H,1.0,1.0,D,ES,1995/1996
SP1,1995-04-10,Sociedad,La Coruna,2.0,1.0,H,1.0,1.0,D,ES,1995/1996
SP1,1995-04-10,Sp Gijon,Sevilla,3.0,1.0,H,1.0,1.0,D,ES,1995/1996
SP1,1995-04-10,Tenerife,Merida,1.0,0.0,H,1.0,0.0,H,ES,1995/1996
SP1,1995-04-10,Valencia,Real Madrid,4.0,3.0,H,3.0,0.0,H,ES,1995/1996
SP1,1995-05-10,Ath Madrid,Espanol,2.0,1.0,H,1.0,1.0,D,ES,1995/1996
SP1,1995-07-10,Betis,Barcelona,1.0,5.0,A,0.0,2.0,A,ES,1995/1996
SP1,1995-08-10,Ath Bilbao,Sevilla,1.0,1.0,D,0.0,0.0,D,ES,1995/1996
SP1,1995-08-10,Celta,Ath Madrid,0.0,3.0,A,0.0,1.0,A,ES,1995/1996
SP1,1995-08-10,Espanol,Sp Gijon,0.0,0.0,D,0.0,0.0,D,ES,1995/1996
SP1,1995-08-10,La Coruna,Santander,2.0,3.0,A,0.0,1.0,A,ES,1995/1996
SP1,1995-08-10,Merida,Albacete,1.0,1.0,D,0.0,0.0,D,ES,1995/1996
SP1,1995-08-10,Oviedo,Valencia,0.0,1.0,A,0.0,0.0,D,ES,1995/1996
