Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,Country,Season
E4,1997-09-08,Chester,Lincoln,2,0,H,EN,1997/1998
E4,1997-09-08,Colchester,Darlington,2,1,H,EN,1997/1998
E4,1997-09-08,Exeter,Hartlepool,1,1,D,EN,1997/1998
E4,1997-09-08,Leyton Orient,Cardiff,0,1,A,EN,1997/1998
E4,1997-09-08,Macclesfield,Torquay,2,1,H,EN,1997/1998
E4,1997-09-08,Mansfield,Hull,2,0,H,EN,1997/1998
E4,1997-09-08,Notts County,Rochdale,2,1,H,EN,1997/1998
E4,1997-09-08,Peterboro,Scunthorpe,0,1,A,EN,1997/1998
E4,1997-09-08,Rotherham,Barnet,2,3,A,EN,1997/1998
E4,1997-09-08,Scarborough,Cambridge,1,0,H,EN,1997/1998
E4,1997-09-08,Shrewsbury,Doncaster,2,1,H,EN,1997/1998
E4,1997-09-08,Swansea,Brighton,1,0,H,EN,1997/1998
E4,1997-08-16,Barnet,Exeter,1,2,A,EN,1997/1998
E4,1997-08-16,Brighton,Macclesfield,1,1,D,EN,1997/1998
E4,1997-08-16,Cambridge,Rotherham,2,1,H,EN,1997/1998
E4,1997-08-16,Doncaster,Peterboro,0,5,A,EN,1997/1998
E4,1997-08-16,Hartlepool,Colchester,3,2,H,EN,1997/1998
E4,1997-08-16,Hull,Notts County,0,3,A,EN,1997/1998
E4,1997-08-16,Lincoln,Shrewsbury,1,0,H,EN,1997/1998
E4,1997-08-16,Rochdale,Mansfield,2,0,H,EN,1997/1998
E4,1997-08-16,Scunthorpe,Leyton Orient,1,0,H,EN,1997/1998
E4,1997-08-16,Torquay,Scarborough,1,0,H,EN,1997/1998
E4,1997-08-22,Colchester,Barnet,1,1,D,EN,1997/1998
E4,1997-08-22,Scarborough,Brighton,2,1,H,EN,1997/1998
E4,1997-08-23,Chester,Cambridge,1,1,D,EN,1997/1998
E4,1997-08-23,Exeter,Darlington,1,0,H,EN,1997/1998
E4,1997-08-23,Leyton Orient,Rochdale,2,0,H,EN,1997/1998
E4,1997-08-23,Macclesfield,Doncaster,3,0,H,EN,1997/1998
E4,1997-08-23,Mansfield,Cardiff,1,2,A,EN,1997/1998
E4,1997-08-23,Notts County,Lincoln,1,2,A,EN,1997/1998
E4,1997-08-23,Peterboro,Hull,2,0,H,EN,1997/1998
E4,1997-08-23,Rotherham,Hartlepool,2,1,H,EN,1997/1998
E4,1997-08-23,Shrewsbury,Torquay,1,2,A,EN,1997/1998
E4,1997-08-23,Swansea,Scunthorpe,2,0,H,EN,1997/1998
E4,1997-08-30,Barnet,Chester,2,1,H,EN,1997/1998
E4,1997-08-30,Brighton,Leyton Orient,0,1,A,EN,1997/1998
E4,1997-08-30,Cambridge,Shrewsbury,4,3,H,EN,1997/1998
E4,1997-08-30,Cardiff,Notts County,1,1,D,EN,1997/1998
E4,1997-08-30,Darlington,Rotherham,1,1,D,EN,1997/1998
E4,1997-08-30,Doncaster,Exeter,0,1,A,EN,1997/1998
E4,1997-08-30,Hartlepool,Macclesfield,0,0,D,EN,1997/1998
E4,1997-08-30,Hull,Swansea,7,4,H,EN,1997/1998
E4,1997-08-30,Lincoln,Scarborough,3,3,D,EN,1997/1998
E4,1997-08-30,Rochdale,Peterboro,1,2,A,EN,1997/1998
E4,1997-08-30,Scunthorpe,Mansfield,1,0,H,EN,1997/1998
E4,1997-08-30,Torquay,Colchester,1,1,D,EN,1997/1998
E4,1997-02-09,Barnet,Swansea,2,0,H,EN,1997/1998
E4,1997-02-09,Cambridge,Colchester,4,1,H,EN,1997/1998
E4,1997-02-09,Cardiff,Shrewsbury,2,2,D,EN,1997/1998
E4,1997-02-09,Darlington,Scarborough,1,2,A,EN,1997/1998
E4,1997-02-09,Doncaster,Leyton Orient,1,4,A,EN,1997/1998
E4,1997-02-09,Hartlepool,Notts County,1,1,D,EN,1997/1998
E4,1997-02-09,Hull,Rotherham,0,0,D,EN,1997/1998
E4,1997-02-09,Lincoln,Mansfield,0,2,A,EN,1997/1998
E4,1997-02-09,Rochdale,Macclesfield,2,0,H,EN,1997/1998
E4,1997-02-09,Scunthorpe,Chester,2,1,H,EN,1997/1998
E4,1997-02-09,Torquay,Exeter,1,2,A,EN,1997/1998
E4,1997-03-09,Brighton,Peterboro,2,2,D,EN,1997/1998
E4,1997-05-09,Chester,Hull,1,0,H,EN,1997/1998
E4,1997-05-09,Leyton Orient,Cambridge,0,2,A,EN,1997/1998
E4,1997-05-09,Macclesfield,Darlington,2,1,H,EN,1997/1998
E4,1997-05-09,Mansfield,Doncaster,1,1,D,EN,1997/1998
E4,1997-05-09,Swansea,Torquay,2,0,H,EN,1997/1998
E4,1997-07-09,Notts County,Scunthorpe,2,1,H,EN,1997/1998
E4,1997-07-09,Peterboro,Barnet,5,1,H,EN,1997/1998
E4,1997-07-09,Scarborough,Hartlepool,1,1,D,EN,1997/1998
E4,1997-08-09,Colchester,Brighton,3,1,H,EN,1997/1998
E4,1997-09-09,Darlington,Swansea,3,2,H,EN,1997/1998
E4,1997-09-09,Exeter,Cardiff,1,1,D,EN,1997/1998
E4,1997-09-09,Shrewsbury,Rochdale,1,0,H,EN,1997/1998
E4,1997-10-09,Rotherham,Lincoln,3,1,H,EN,1997/1998
E4,1997-12-09,Colchester,Scarborough,1,0,H,EN,1997/1998
E4,1997-09-13,Brighton,Darlington,0,0,D,EN,1997/1998
E4,1997-09-13,Cambridge,Barnet,1,3,A,EN,1997/1998
E4,1997-09-13,Cardiff,Rochdale,2,1,H,EN,1997/1998
E4,1997-09-13,Chester,Shrewsbury,2,0,H,EN,1997/1998
E4,1997-09-13,Hartlepool,Torquay,3,0,H,EN,1997/1998
E4,1997-09-13,Hull,Lincoln,0,2,A,EN,1997/1998
E4,1997-09-13,Leyton Orient,Exeter,1,0,H,EN,1997/1998
E4,1997-09-13,Macclesfield,Swansea,3,0,H,EN,1997/1998
E4,1997-09-13,Notts County,Mansfield,1,0,H,EN,1997/1998
E4,1997-09-13,Rotherham,Peterboro,2,2,D,EN,1997/1998
E4,1997-09-13,Scunthorpe,Doncaster,1,1,D,EN,1997/1998
E4,1997-09-16,Cardiff,Chester,0,2,A,EN,1997/1998
E4,1997-09-20,Barnet,Scunthorpe,0,1,A,EN,1997/1998
E4,1997-09-20,Darlington,Hartlepool,1,1,D,EN,1997/1998
E4,1997-09-20,Doncaster,Cambridge,0,0,D,EN,1997/1998
E4,1997-09-20,Exeter,Rotherham,3,1,H,EN,1997/1998
E4,1997-09-20,Lincoln,Cardiff,1,0,H,EN,1997/1998
E4,1997-09-20,Mansfield,Chester,4,1,H,EN,1997/1998
E4,1997-09-20,Peterboro,Leyton Orient,2,0,H,EN,1997/1998
E4,1997-09-20,Rochdale,Hull,2,1,H,EN,1997/1998
E4,1997-09-20,Scarborough,Macclesfield,2,1,H,EN,1997/1998
E4,1997-09-20,Shrewsbury,Notts County,1,2,A,EN,1997/1998
E4,1997-09-20,Swansea,Colchester,0,1,A,EN,1997/1998
E4,1997-09-20,Torquay,Brighton,3,0,H,EN,1997/1998
E4,1997-09-27,Barnet,Lincoln,0,0,D,EN,1997/1998
E4,1997-09-27,Brighton,Rochdale,2,1,H,EN,1997/1998
E4,1997-09-27,Cambridge,Cardiff,2,2,D,EN,1997/1998
E4,1997-09-27,Colchester,Exeter,1,2,A,EN,1997/1998
E4,1997-09-27,Darlington,Mansfield,0,0,D,EN,1997/1998
E4,1997-09-27,Hartlepool,Shrewsbury,2,1,H,EN,1997/1998
E4,1997-09-27,Macclesfield,Peterboro,1,1,D,EN,1997/1998
E4,1997-09-27,Rotherham,Chester,4,2,H,EN,1997/1998
