Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Country,Season
D2,1998-07-30,Hannover,Karlsruhe,1,0,H,0,0,D,DE,1998/1999
D2,1998-07-31,Cottbus,Stuttgarter K,2,0,H,1,0,H,DE,1998/1999
D2,1998-07-31,F Koln,Dusseldorf,2,1,H,2,0,H,DE,1998/1999
D2,1998-07-31,St Pauli,TB Berlin,1,0,H,0,0,D,DE,1998/1999
D2,1998-02-08,Gutersloh,FC Koln,0,1,A,0,0,D,DE,1998/1999
D2,1998-02-08,Mainz,Greuther Furth,3,0,H,1,0,H,DE,1998/1999
D2,1998-02-08,Oberhausen,Uerdingen,0,0,D,0,0,D,DE,1998/1999
D2,1998-02-08,Ulm,Wattenscheid,2,0,H,0,0,D,DE,1998/1999
D2,1998-02-08,Unterhaching,Bielefeld,0,2,A,0,0,D,DE,1998/1999
D2,1998-07-08,FC Koln,Unterhaching,0,1,A,0,1,A,DE,1998/1999
D2,1998-07-08,Stuttgarter K,Oberhausen,2,0,H,1,0,H,DE,1998/1999
D2,1998-07-08,Uerdingen,F Koln,1,2,A,0,1,A,DE,1998/1999
D2,1998-09-08,Dusseldorf,Gutersloh,3,1,H,2,1,H,DE,1998/1999
D2,1998-09-08,Greuther Furth,St Pauli,1,0,H,0,0,D,DE,1998/1999
D2,1998-09-08,Karlsruhe,Ulm,1,2,A,0,0,D,DE,1998/1999
D2,1998-09-08,TB Berlin,Cottbus,1,0,H,0,0,D,DE,1998/1999
D2,1998-09-08,Wattenscheid,Mainz,1,1,D,0,1,A,DE,1998/1999
D2,1998-10-08,Bielefeld,Hannover,0,1,A,0,1,A,DE,1998/1999
D2,1998-11-08,F Koln,Stuttgarter K,2,1,H,0,1,A,DE,1998/1999
D2,1998-12-08,Oberhausen,TB Berlin,0,2,A,0,0,D,DE,1998/1999
D2,1998-08-13,Cottbus,Greuther Furth,1,1,D,1,1,D,DE,1998/1999
D2,1998-08-13,Dusseldorf,Uerdingen,2,2,D,1,2,A,DE,1998/1999
D2,1998-08-13,Gutersloh,Unterhaching,1,1,D,0,1,A,DE,1998/1999
D2,1998-08-13,Mainz,Karlsruhe,4,1,H,2,1,H,DE,1998/1999
D2,1998-08-13,St Pauli,Wattenscheid,1,0,H,0,0,D,DE,1998/1999
D2,1998-08-13,Ulm,Bielefeld,6,2,H,2,1,H,DE,1998/1999
D2,1998-08-15,TB Berlin,F Koln,3,2,H,1,1,D,DE,1998/1999
D2,1998-08-16,Bielefeld,Mainz,1,0,H,0,0,D,DE,1998/1999
D2,1998-08-16,FC Koln,Ulm,1,1,D,0,1,A,DE,1998/1999
D2,1998-08-16,Greuther Furth,Oberhausen,1,1,D,0,1,A,DE,1998/1999
D2,1998-08-16,Stuttgarter K,Dusseldorf,1,0,H,0,0,D,DE,1998/1999
D2,1998-08-16,Uerdingen,Gutersloh,2,0,H,0,0,D,DE,1998/1999
D2,1998-08-16,Unterhaching,Hannover,3,1,H,1,1,D,DE,1998/1999
D2,1998-08-16,Wattenscheid,Cottbus,1,1,D,0,1,A,DE,1998/1999
D2,1998-08-17,Karlsruhe,St Pauli,3,0,H,3,0,H,DE,1998/1999
D2,1998-08-21,Mainz,FC Koln,2,1,H,1,0,H,DE,1998/1999
D2,1998-08-21,Uerdingen,Stuttgarter K,0,1,A,0,0,D,DE,1998/1999
D2,1998-08-21,Ulm,Unterhaching,3,1,H,2,0,H,DE,1998/1999
D2,1998-08-23,Cottbus,Karlsruhe,4,0,H,2,0,H,DE,1998/1999
