Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,Country,Season
F2,2002-08-02,Reims,Lorient,1,3,A,0,1,A,,,,2.5,2.9,2.55,2.5,2.7,2.5,2.5,2.9,2.6,,,,,,FR,2002/2003
F2,2002-08-03,Amiens,Le Mans,0,1,A,0,1,A,,,,2.15,2.85,3.15,2.1,2.7,3.1,2.2,2.875,3.1,,,,,,FR,2002/2003
F2,2002-08-03,Caen,Valence,3,1,H,0,0,D,,,,1.75,3.2,3.95,1.7,3.0,3.8,1.667,3.25,4.5,,,,,,FR,2002/2003
F2,2002-08-03,Chateauroux,Beauvais,1,0,H,1,0,H,,,,1.95,2.9,3.6,2.0,2.7,3.3,2.0,3.0,3.4,,,,,,FR,2002/2003
F2,2002-08-03,Clermont,Niort,1,1,D,1,0,H,,,,2.2,2.9,3.0,2.2,2.7,2.9,2.25,2.875,3.0,,,,,,FR,2002/2003
F2,2002-08-03,Grenoble,St Etienne,1,0,H,1,0,H,,,,2.15,2.85,3.15,2.2,2.7,2.9,2.2,2.875,3.1,,,,,,FR,2002/2003
F2,2002-08-03,Gueugnon,Metz,0,2,A,0,0,D,,,,2.3,2.85,2.85,2.4,2.7,2.6,2.375,3.0,2.7,,,,,,FR,2002/2003
F2,2002-08-03,Istres,Toulouse,0,4,A,0,2,A,,,,2.4,2.95,2.65,2.4,2.7,2.6,2.3,2.9,2.875,,,,,,FR,2002/2003
F2,2002-08-03,Laval,Wasquehal,1,0,H,1,0,H,,,,1.75,3.2,4.0,1.75,2.9,3.8,1.727,3.2,4.2,,,,,,FR,2002/2003
F2,2002-08-03,Nancy,Creteil,2,3,A,1,3,A,,,,1.75,3.2,4.0,1.75,2.9,3.8,1.667,3.25,4.5,,,,,,FR,2002/2003
F2,2002-08-10,Beauvais,Clermont,1,0,H,1,0,H,1.727,2.875,5.0,1.78,2.9,4.6,1.7,2.9,4.0,1.667,3.1,5.0,,,,2.13,1.55,FR,2002/2003
F2,2002-08-10,Caen,Chateauroux,4,1,H,3,1,H,1.909,2.875,4.0,1.96,2.85,4.1,1.8,2.8,3.7,1.8,3.0,4.2,,,,2.1,1.55,FR,2002/2003
F2,2002-08-10,Creteil,Laval,1,1,D,1,0,H,2.2,2.8,3.2,2.22,2.8,3.3,2.0,2.7,3.3,2.1,2.875,3.3,,,,2.12,1.55,FR,2002/2003
F2,2002-08-10,Le Mans,Gueugnon,3,1,H,2,0,H,1.667,3.1,5.0,1.84,3.0,4.6,1.65,2.9,4.4,1.615,3.2,5.0,,,,1.9,1.7,FR,2002/2003
F2,2002-08-10,Metz,Reims,0,0,D,0,0,D,1.444,3.5,7.0,1.47,3.4,6.63,1.4,3.5,5.6,1.4,3.6,7.5,,,,2.1,1.55,FR,2002/2003
F2,2002-08-10,Niort,Amiens,2,0,H,0,0,D,2.0,2.75,3.8,2.04,2.8,4.0,1.85,2.8,3.5,1.909,2.875,4.0,,,,2.13,1.55,FR,2002/2003
F2,2002-08-10,St Etienne,Istres,3,0,H,2,0,H,1.571,3.25,5.5,1.64,3.3,5.3,1.5,3.2,5.0,1.571,3.25,5.5,,,,2.05,1.6,FR,2002/2003
F2,2002-08-10,Valence,Nancy,2,0,H,1,0,H,2.375,2.875,2.8,2.35,2.85,2.85,2.3,2.7,2.7,2.375,2.875,2.8,,,,2.05,1.6,FR,2002/2003
