Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,GBAHH,GBAHA,GBAH,Country,Season
I2,2003-07-09,Catania,Cagliari,0,3,A,0.0,2.0,A,,,,,,,,,,,,,,,,,,,,,,,,IT,2003/2004
I2,2003-07-09,Napoli,Como,0,1,A,0.0,0.0,D,,,,,,,,,,,,,,,,,,,,,,,,IT,2003/2004
I2,2003-11-09,Albinoleffe,Ternana,1,2,A,0.0,1.0,A,2.5,2.62,2.87,2.45,2.7,2.9,2.5,2.6,2.6,2.5,2.625,2.875,2.5,2.62,2.9,2.45,2.6,2.9,2.2,1.51,1.67,1.95,0.0,IT,2003/2004
I2,2003-11-09,Avellino,Palermo,0,0,D,0.0,0.0,D,2.87,2.75,2.37,3.0,2.8,2.3,2.7,2.7,2.3,2.8,2.8,2.4,2.87,2.8,2.37,3.0,2.7,2.3,2.2,1.58,1.85,1.75,0.25,IT,2003/2004
I2,2003-11-09,Bari,Torino,2,1,H,1.0,0.0,H,2.25,2.6,3.4,2.25,2.65,3.3,2.2,2.6,3.0,2.25,2.625,3.25,2.25,2.6,3.4,2.2,2.6,3.4,2.1,1.56,1.8,1.8,-0.25,IT,2003/2004
I2,2003-11-09,Cagliari,Pescara,3,0,H,3.0,0.0,H,1.33,4.0,8.0,1.3,4.35,8.0,1.35,3.5,7.0,1.3,4.0,8.0,1.3,4.33,8.0,1.35,3.75,8.0,1.81,1.81,1.9,1.7,-1.5,IT,2003/2004
I2,2003-11-09,Como,Catania,1,4,A,0.0,2.0,A,1.66,3.0,5.0,1.65,3.05,5.25,1.65,2.8,4.6,1.615,3.0,5.5,1.66,3.0,5.25,1.65,2.95,5.2,1.81,1.81,1.75,1.85,-0.75,IT,2003/2004
I2,2003-11-09,Fiorentina,Triestina,1,1,D,1.0,0.0,H,1.9,2.87,4.0,1.8,2.85,4.6,1.8,2.7,3.9,1.909,2.75,4.0,1.9,2.75,4.2,1.75,2.85,4.75,2.0,1.65,1.85,1.75,-0.5,IT,2003/2004
I2,2003-11-09,Genoa,Livorno,0,1,A,0.0,1.0,A,2.25,2.75,3.2,2.25,2.65,3.3,2.3,2.6,2.8,2.4,2.625,3.0,2.37,2.6,3.1,2.2,2.8,3.05,2.2,1.51,1.75,1.85,-0.25,IT,2003/2004
I2,2003-11-09,Messina,Napoli,1,1,D,0.0,0.0,D,2.3,2.7,3.1,2.35,2.5,3.3,2.2,2.6,3.0,2.25,2.625,3.25,2.37,2.7,3.0,2.4,2.6,3.0,2.2,1.51,1.7,1.9,-0.25,IT,2003/2004
I2,2003-11-09,Piacenza,Atalanta,0,0,D,0.0,0.0,D,2.25,2.7,3.25,2.15,2.65,3.55,2.2,2.6,3.0,2.25,2.625,3.25,2.2,2.62,3.4,2.1,2.65,3.5,2.0,1.61,1.75,1.85,-0.25,IT,2003/2004
I2,2003-11-09,Salernitana,Ascoli,0,0,D,0.0,0.0,D,2.2,2.75,3.25,2.25,2.65,3.3,2.2,2.6,3.0,2.25,2.625,3.25,2.2,2.62,3.4,2.25,2.65,3.15,2.2,1.55,1.9,1.7,-0.25,IT,2003/2004
I2,2003-11-09,Venezia,Vicenza,1,1,D,1.0,1.0,D,2.2,2.75,3.25,2.2,2.65,3.4,2.2,2.6,3.0,2.2,2.625,3.4,2.15,2.7,3.5,2.2,2.6,3.4,2.2,1.51,1.8,1.8,-0.25,IT,2003/2004
I2,2003-11-09,Verona,Treviso,0,0,D,0.0,0.0,D,1.8,2.87,4.5,1.75,2.85,4.95,1.75,2.7,4.2,1.8,2.8,4.5,1.8,2.8,4.8,1.75,2.85,4.75,2.2,1.51,1.9,1.7,-0.75,IT,2003/2004
I2,2003-09-14,Ascoli,Como,1,0,H,0.0,0.0,D,2.0,2.62,4.2,2.05,2.55,4.0,2.0,2.6,3.4,1.909,2.625,4.333,2.0,2.7,4.0,2.0,2.6,4.0,,,,,,IT,2003/2004
I2,2003-09-14,Atalanta,Albinoleffe,2,1,H,0.0,0.0,D,,,,1.45,3.4,7.0,1.45,3.2,5.7,1.444,3.4,7.0,1.44,3.4,7.0,1.45,3.35,6.75,,,,,,IT,2003/2004
I2,2003-09-14,Catania,Verona,1,1,D,1.0,1.0,D,2.1,2.62,3.75,2.1,2.6,3.8,2.0,2.6,3.4,2.0,2.625,4.0,2.0,2.7,4.0,2.0,2.6,4.0,,,,,,IT,2003/2004
I2,2003-09-14,Livorno,Avellino,0,0,D,0.0,0.0,D,1.66,3.0,5.5,1.65,3.0,5.5,1.6,2.9,4.8,1.571,3.0,6.0,1.61,3.1,5.5,1.65,3.0,5.0,,,,,,IT,2003/2004
I2,2003-09-14,Napoli,Piacenza,1,1,D,1.0,1.0,D,2.2,2.62,3.5,2.2,2.55,3.55,2.2,2.6,3.0,2.1,2.6,3.75,2.2,2.62,3.5,2.0,2.6,4.0,,,,,,IT,2003/2004
I2,2003-09-14,Palermo,Cagliari,1,0,H,0.0,0.0,D,2.2,2.62,3.5,2.2,2.55,3.55,2.1,2.6,3.2,2.25,2.625,3.25,2.2,2.62,3.5,2.1,2.5,3.8,,,,,,IT,2003/2004
I2,2003-09-14,Pescara,Venezia,1,0,H,1.0,0.0,H,2.4,2.6,3.1,2.45,2.5,3.15,2.3,2.6,2.8,2.4,2.625,3.0,2.4,2.7,3.0,2.3,2.5,3.3,,,,,,IT,2003/2004
I2,2003-09-14,Ternana,Messina,3,0,H,1.0,0.0,H,1.8,2.75,5.0,1.75,2.75,5.25,1.75,2.8,4.0,1.8,2.625,5.0,1.75,2.8,5.0,1.7,2.8,5.25,,,,,,IT,2003/2004
I2,2003-09-14,Torino,Genoa,1,0,H,0.0,0.0,D,1.66,3.0,5.5,1.65,3.0,5.5,1.6,2.9,4.8,1.727,3.0,4.5,1.57,3.1,6.0,1.7,2.8,5.25,,,,,,IT,2003/2004
I2,2003-09-14,Treviso,Bari,1,1,D,0.0,0.0,D,2.6,2.6,2.8,2.55,2.55,2.9,2.5,2.6,2.6,2.6,2.6,2.75,2.5,2.6,2.9,2.5,2.5,2.95,,,,,,IT,2003/2004
I2,2003-09-14,Triestina,Salernitana,2,1,H,0.0,1.0,A,1.72,2.87,5.0,1.8,2.7,5.0,1.75,2.7,4.2,1.727,2.8,5.0,1.75,2.75,5.25,1.7,2.8,5.25,,,,,,IT,2003/2004
I2,2003-09-14,Vicenza,Fiorentina,1,1,D,1.0,1.0,D,2.1,2.62,3.75,2.1,2.6,3.8,2.1,2.6,3.2,2.1,2.625,3.6,2.1,2.7,3.6,2.0,2.6,4.0,,,,,,IT,2003/2004
I2,2003-09-20,Albinoleffe,Fiorentina,1,0,H,0.0,0.0,D,2.75,2.62,2.62,2.7,2.65,2.65,2.6,2.5,2.6,2.75,2.6,2.6,2.75,2.62,2.62,2.8,2.55,2.5,2.0,1.61,,,,IT,2003/2004
I2,2003-09-20,Avellino,Napoli,3,0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,IT,2003/2004
I2,2003-09-20,Ascoli,Pescara,2,1,H,1.0,0.0,H,1.83,2.62,5.0,1.82,2.7,4.9,1.8,2.7,3.9,1.833,2.75,4.5,1.85,2.75,4.5,1.8,2.75,4.4,2.0,1.61,,,,IT,2003/2004
I2,2003-09-20,Cagliari,Treviso,1,1,D,1.0,1.0,D,1.4,3.6,7.5,1.4,3.65,7.25,1.4,3.2,6.5,1.4,3.6,7.0,1.44,3.6,6.5,1.4,3.4,7.25,1.85,1.74,,,,IT,2003/2004
I2,2003-09-20,Como,Torino,0,2,A,0.0,1.0,A,2.62,2.62,2.75,2.7,2.6,2.7,2.6,2.5,2.6,2.8,2.625,2.5,2.6,2.62,2.8,2.45,2.6,2.8,2.1,1.56,,,,IT,2003/2004
I2,2003-09-20,Genoa,Atalanta,0,3,A,0.0,3.0,A,2.5,2.62,2.87,2.4,2.55,3.15,2.3,2.6,2.8,2.25,2.625,3.2,2.4,2.6,3.1,2.35,2.55,3.05,2.1,1.56,,,,IT,2003/2004
I2,2003-09-20,Messina,Vicenza,1,1,D,0.0,0.0,D,2.25,2.6,3.4,2.25,2.55,3.45,2.2,2.6,3.0,2.25,2.625,3.2,2.25,2.6,3.4,2.15,2.65,3.3,2.1,1.56,,,,IT,2003/2004
I2,2003-09-20,Palermo,Ternana,2,1,H,1.0,0.0,H,1.8,2.7,5.0,1.7,2.75,5.8,1.75,2.7,4.2,1.667,2.8,5.5,1.75,2.8,5.0,1.7,2.8,5.0,1.95,1.66,,,,IT,2003/2004
I2,2003-09-20,Piacenza,Venezia,1,0,H,1.0,0.0,H,1.72,2.75,5.5,1.68,2.85,5.6,1.7,2.7,4.4,1.667,2.8,5.5,1.72,2.87,5.0,1.7,2.8,5.0,2.0,1.61,,,,IT,2003/2004
I2,2003-09-20,Salernitana,Catania,1,2,A,0.0,2.0,A,2.2,2.62,3.4,2.2,2.65,3.4,2.2,2.6,3.0,2.2,2.6,3.4,2.2,2.62,3.4,2.05,2.7,3.45,1.95,1.66,,,,IT,2003/2004
I2,2003-09-20,Triestina,Livorno,4,3,H,0.0,2.0,A,2.2,2.62,3.4,2.25,2.55,3.45,2.2,2.6,3.0,2.25,2.625,3.2,2.25,2.6,3.4,2.05,2.75,3.4,2.0,1.61,,,,IT,2003/2004
I2,2003-09-20,Verona,Bari,4,3,H,2.0,1.0,H,2.3,2.62,3.2,2.38,2.55,3.2,2.4,2.5,2.8,2.25,2.5,3.4,2.37,2.6,3.1,2.2,2.7,3.1,2.1,1.56,,,,IT,2003/2004
I2,2003-09-23,Albinoleffe,Livorno,1,1,D,1.0,0.0,H,2.5,2.62,2.87,2.55,2.55,2.92,2.4,2.5,2.8,2.6,2.6,2.75,2.6,2.6,2.8,2.6,2.6,2.65,,,,,,IT,2003/2004
I2,2003-09-23,Avellino,Torino,1,3,A,1.0,1.0,D,2.5,2.62,2.87,2.62,2.6,2.75,2.6,2.5,2.6,2.6,2.6,2.75,2.62,2.62,2.75,2.55,2.6,2.7,,,,,,IT,2003/2004
I2,2003-09-23,Bari,Ternana,1,2,A,1.0,0.0,H,1.9,2.62,4.5,2.0,2.65,4.0,1.9,2.6,3.8,2.1,2.6,3.75,2.0,2.6,4.2,1.9,2.65,4.1,,,,,,IT,2003/2004
I2,2003-09-23,Cagliari,Ascoli,3,0,H,1.0,0.0,H,1.57,3.0,6.5,1.52,3.15,6.6,1.6,2.9,4.8,1.571,3.0,6.0,1.53,3.25,6.0,1.55,3.1,5.5,,,,,,IT,2003/2004
I2,2003-09-23,Como,Pescara,1,1,D,1.0,0.0,H,1.8,2.7,5.0,1.85,2.75,4.5,1.8,2.7,3.9,1.9,2.625,4.333,1.9,2.75,4.2,1.8,2.7,4.5,,,,,,IT,2003/2004
I2,2003-09-23,Fiorentina,Atalanta,1,1,D,1.0,0.0,H,2.5,2.62,2.87,2.5,2.6,2.92,2.5,2.5,2.7,2.6,2.6,2.75,2.5,2.62,2.87,2.3,2.7,2.9,,,,,,IT,2003/2004
I2,2003-09-23,Genoa,Treviso,0,0,D,0.0,0.0,D,1.9,2.62,4.5,2.0,2.65,4.0,1.9,2.6,3.8,2.0,2.625,4.0,2.0,2.7,4.0,1.9,2.7,4.0,,,,,,IT,2003/2004
I2,2003-09-23,Messina,Triestina,1,1,D,1.0,1.0,D,2.25,2.6,3.4,2.25,2.65,3.25,2.3,2.4,3.0,2.25,2.6,3.25,2.25,2.62,3.3,2.2,2.6,3.25,,,,,,IT,2003/2004
I2,2003-09-23,Piacenza,Vicenza,1,0,H,1.0,0.0,H,1.8,2.6,5.5,1.8,2.68,5.0,1.8,2.6,4.2,1.833,2.75,4.5,1.83,2.62,5.0,1.8,2.7,4.5,,,,,,IT,2003/2004
I2,2003-09-23,Salernitana,Palermo,1,1,D,0.0,0.0,D,3.0,2.7,2.37,3.15,2.65,2.3,2.7,2.5,2.5,3.2,2.6,2.3,3.25,2.62,2.3,2.8,2.7,2.4,,,,,,IT,2003/2004
I2,2003-09-23,Venezia,Catania,0,3,A,0.0,0.0,D,2.2,2.62,3.4,2.15,2.65,3.5,2.1,2.5,3.3,2.2,2.625,3.4,2.2,2.62,3.4,2.15,2.7,3.2,,,,,,IT,2003/2004
