Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,GBAHH,GBAHA,GBAH,Country,Season
SP2,2004-06-06,Numancia,Alaves,3,1,H,1,0,H,,,,2.3,2.5,3.3,2.3,2.5,3.0,2.3,2.62,3.25,,,,,,2.3,1.42,-0.5,ES,2003/2004
SP2,2004-06-06,Sp Gijon,Cadiz,2,0,H,1,0,H,,,,1.5,3.4,5.5,1.45,3.0,6.0,1.57,3.25,5.5,,,,,,1.5,2.1,-0.5,ES,2003/2004
SP2,2004-06-06,Tenerife,Almeria,2,0,H,0,0,D,,,,2.3,2.4,3.5,2.3,2.3,3.0,2.3,2.5,3.4,,,,,,2.3,1.42,-0.5,ES,2003/2004
SP2,2004-06-06,Vallecano,Cordoba,2,0,H,0,0,D,,,,2.05,2.75,3.5,2.3,2.7,2.7,2.3,2.7,3.1,,,,,,2.05,1.54,-0.5,ES,2003/2004
SP2,2004-06-11,Xerez,Cadiz,1,1,D,0,0,D,,,,2.25,2.6,3.1,,,,2.2,2.7,3.4,,,,,,,,,ES,2003/2004
SP2,2004-06-13,Alaves,Ciudad de Murcia,1,0,H,1,0,H,,,,1.5,3.25,5.55,1.5,3.0,5.5,1.57,3.25,5.5,,,,,,,,,ES,2003/2004
SP2,2004-06-13,Algeciras,Numancia,0,1,A,0,1,A,,,,5.5,3.2,1.52,,,,4.6,3.25,1.67,,,,,,,,,ES,2003/2004
SP2,2004-06-13,Almeria,Sp Gijon,2,1,H,0,0,D,,,,2.7,2.6,2.5,2.5,2.7,2.5,2.75,2.75,2.5,,,,,,,,,ES,2003/2004
SP2,2004-06-13,Cordoba,Elche,1,0,H,1,0,H,,,,1.43,3.65,5.5,1.5,3.2,5.0,1.57,3.25,5.5,,,,,,,,,ES,2003/2004
SP2,2004-06-13,Getafe,Eibar,2,1,H,1,0,H,,,,1.35,3.6,7.5,1.3,3.6,8.0,1.36,3.75,8.0,,,,,,,,,ES,2003/2004
SP2,2004-06-13,Las Palmas,Terrassa,2,1,H,0,1,A,,,,2.45,2.62,2.75,2.8,2.3,2.6,2.7,2.62,2.7,,,,,,,,,ES,2003/2004
SP2,2004-06-13,Levante,Poli Ejido,2,0,H,1,0,H,,,,2.1,2.75,3.2,2.0,2.5,3.5,2.0,2.8,3.75,,,,,,,,,ES,2003/2004
SP2,2004-06-13,Malaga B,Tenerife,2,2,D,1,1,D,,,,2.0,2.5,4.0,1.75,2.6,4.4,2.1,2.6,3.75,,,,,,,,,ES,2003/2004
SP2,2004-06-13,Recreativo,Leganes,3,1,H,2,1,H,,,,2.6,2.7,2.5,,,,2.5,2.6,2.88,,,,,,,,,ES,2003/2004
SP2,2004-06-13,Salamanca,Vallecano,1,1,D,0,1,A,,,,2.15,2.7,3.15,2.1,2.9,2.9,2.2,2.88,3.1,,,,,,,,,ES,2003/2004
SP2,2004-06-18,Elche,Salamanca,1,2,A,1,1,D,,,,,,,,,,2.2,2.6,3.5,,,,,,,,,ES,2003/2004
SP2,2004-06-19,Cadiz,Almeria,2,1,H,0,0,D,,,,1.9,2.65,4.2,1.9,2.7,3.5,2.0,2.75,3.8,,,,,,,,,ES,2003/2004
SP2,2004-06-19,Ciudad de Murcia,Algeciras,2,0,H,1,0,H,,,,,,,,,,1.3,4.2,8.5,,,,,,,,,ES,2003/2004
SP2,2004-06-19,Eibar,Alaves,1,2,A,0,1,A,,,,,,,,,,5.0,3.5,1.57,,,,,,,,,ES,2003/2004
SP2,2004-06-19,Leganes,Cordoba,0,1,A,0,1,A,,,,2.22,2.55,3.22,2.1,2.5,3.4,2.25,2.6,3.4,,,,,,,,,ES,2003/2004
SP2,2004-06-19,Numancia,Recreativo,2,0,H,1,0,H,,,,1.42,3.2,8.0,,,,1.4,3.4,8.5,,,,,,1.42,2.29,-0.5,ES,2003/2004
SP2,2004-06-19,Poli Ejido,Xerez,1,0,H,1,0,H,,,,1.45,3.55,6.0,,,,1.44,3.6,6.5,,,,,,1.45,2.23,-0.5,ES,2003/2004
SP2,2004-06-19,Sp Gijon,Malaga B,1,0,H,1,0,H,,,,,,,1.85,2.8,3.5,1.8,2.9,4.33,,,,,,,,,ES,2003/2004
SP2,2004-06-19,Tenerife,Getafe,3,5,A,1,3,A,,,,4.3,3.3,1.65,1.45,2.8,6.5,4.0,3.4,1.73,,,,,,,,,ES,2003/2004
SP2,2004-06-19,Terrassa,Levante,4,4,D,1,1,D,,,,2.6,2.65,2.65,2.65,2.4,2.65,2.62,2.7,2.7,,,,,,,,,ES,2003/2004
SP2,2004-06-19,Vallecano,Las Palmas,1,2,A,0,1,A,,,,1.4,3.6,7.0,,,,1.4,3.75,7.0,,,,,,1.4,2.38,-0.5,ES,2003/2004
