Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,Country,Season
SP1,1994-03-09,Sevilla,Real Madrid,1.0,4.0,A,ES,1994/1995
SP1,1994-04-09,Albacete,Celta,1.0,1.0,D,ES,1994/1995
SP1,1994-04-09,Ath Bilbao,La Coruna,0.0,2.0,A,ES,1994/1995
SP1,1994-04-09,Ath Madrid,Valencia,2.0,4.0,A,ES,1994/1995
SP1,1994-04-09,Compostela,Sociedad,0.0,2.0,A,ES,1994/1995
SP1,1994-04-09,Espanol,Oviedo,4.0,2.0,H,ES,1994/1995
SP1,1994-04-09,Logrones,Betis,0.0,0.0,D,ES,1994/1995
SP1,1994-04-09,Santander,Valladolid,0.0,0.0,D,ES,1994/1995
SP1,1994-04-09,Sp Gijon,Barcelona,2.0,1.0,H,ES,1994/1995
SP1,1994-04-09,Zaragoza,Tenerife,2.0,2.0,D,ES,1994/1995
SP1,1994-10-09,Barcelona,Santander,2.0,1.0,H,ES,1994/1995
SP1,1994-10-09,Celta,Ath Bilbao,1.0,1.0,D,ES,1994/1995
SP1,1994-10-09,La Coruna,Sp Gijon,2.0,1.0,H,ES,1994/1995
SP1,1994-10-09,Real Madrid,Logrones,2.0,0.0,H,ES,1994/1995
SP1,1994-10-09,Tenerife,Ath Madrid,1.0,0.0,H,ES,1994/1995
SP1,1994-11-09,Betis,Albacete,4.0,1.0,H,ES,1994/1995
SP1,1994-11-09,Oviedo,Compostela,2.0,2.0,D,ES,1994/1995
SP1,1994-11-09,Sociedad,Zaragoza,1.0,2.0,A,ES,1994/1995
SP1,1994-11-09,Valencia,Sevilla,0.0,1.0,A,ES,1994/1995
SP1,1994-11-09,Valladolid,Espanol,0.0,4.0,A,ES,1994/1995
SP1,1994-09-18,Albacete,Real Madrid,1.0,1.0,D,ES,1994/1995
SP1,1994-09-18,Ath Bilbao,Betis,1.0,0.0,H,ES,1994/1995
SP1,1994-09-18,Ath Madrid,Sociedad,2.0,1.0,H,ES,1994/1995
SP1,1994-09-18,Compostela,Valladolid,1.0,0.0,H,ES,1994/1995
SP1,1994-09-18,Espanol,Barcelona,0.0,0.0,D,ES,1994/1995
SP1,1994-09-18,Santander,La Coruna,1.0,2.0,A,ES,1994/1995
SP1,1994-09-18,Sevilla,Logrones,1.0,0.0,H,ES,1994/1995
SP1,1994-09-18,Sp Gijon,Celta,0.0,0.0,D,ES,1994/1995
SP1,1994-09-18,Valencia,Tenerife,2.0,1.0,H,ES,1994/1995
SP1,1994-09-18,Zaragoza,Oviedo,2.0,1.0,H,ES,1994/1995
SP1,1994-09-24,Barcelona,Compostela,4.0,0.0,H,ES,1994/1995
SP1,1994-09-24,La Coruna,Espanol,1.0,1.0,D,ES,1994/1995
SP1,1994-09-24,Real Madrid,Ath Bilbao,4.0,0.0,H,ES,1994/1995
SP1,1994-09-24,Valladolid,Zaragoza,2.0,0.0,H,ES,1994/1995
SP1,1994-09-25,Betis,Sp Gijon,5.0,0.0,H,ES,1994/1995
SP1,1994-09-25,Celta,Santander,2.0,1.0,H,ES,1994/1995
SP1,1994-09-25,Logrones,Albacete,1.0,1.0,D,ES,1994/1995
SP1,1994-09-25,Oviedo,Ath Madrid,1.0,0.0,H,ES,1994/1995
SP1,1994-09-25,Sociedad,Valencia,0.0,2.0,A,ES,1994/1995
SP1,1994-09-25,Tenerife,Sevilla,0.0,0.0,D,ES,1994/1995
SP1,1994-01-10,Compostela,La Coruna,0.0,1.0,A,ES,1994/1995
SP1,1994-01-10,Valencia,Oviedo,1.0,0.0,H,ES,1994/1995
SP1,1994-02-10,Ath Bilbao,Logrones,1.0,0.0,H,ES,1994/1995
SP1,1994-02-10,Ath Madrid,Valladolid,6.0,0.0,H,ES,1994/1995
SP1,1994-02-10,Espanol,Celta,0.0,0.0,D,ES,1994/1995
SP1,1994-02-10,Santander,Betis,0.0,0.0,D,ES,1994/1995
SP1,1994-02-10,Sevilla,Albacete,0.0,2.0,A,ES,1994/1995
SP1,1994-02-10,Sp Gijon,Real Madrid,1.0,0.0,H,ES,1994/1995
SP1,1994-02-10,Tenerife,Sociedad,3.0,0.0,H,ES,1994/1995
SP1,1994-02-10,Zaragoza,Barcelona,2.0,1.0,H,ES,1994/1995
SP1,1994-08-10,Barcelona,Ath Madrid,4.0,3.0,H,ES,1994/1995
SP1,1994-09-10,Albacete,Ath Bilbao,1.0,2.0,A,ES,1994/1995
SP1,1994-09-10,Betis,Espanol,3.0,1.0,H,ES,1994/1995
SP1,1994-09-10,Celta,Compostela,1.0,2.0,A,ES,1994/1995
SP1,1994-09-10,La Coruna,Zaragoza,3.0,3.0,D,ES,1994/1995
SP1,1994-09-10,Logrones,Sp Gijon,1.0,3.0,A,ES,1994/1995
SP1,1994-09-10,Oviedo,Tenerife,1.0,2.0,A,ES,1994/1995
SP1,1994-09-10,Real Madrid,Santander,3.0,1.0,H,ES,1994/1995
SP1,1994-09-10,Sociedad,Sevilla,0.0,0.0,D,ES,1994/1995
SP1,1994-09-10,Valladolid,Valencia,2.0,0.0,H,ES,1994/1995
SP1,1994-10-15,Ath Madrid,La Coruna,1.0,1.0,D,ES,1994/1995
SP1,1994-10-15,Espanol,Real Madrid,1.0,2.0,A,ES,1994/1995
SP1,1994-10-15,Sevilla,Ath Bilbao,0.0,0.0,D,ES,1994/1995
SP1,1994-10-15,Valencia,Barcelona,1.0,2.0,A,ES,1994/1995
SP1,1994-10-16,Compostela,Betis,1.0,1.0,D,ES,1994/1995
SP1,1994-10-16,Santander,Logrones,3.0,0.0,H,ES,1994/1995
SP1,1994-10-16,Sociedad,Oviedo,3.0,1.0,H,ES,1994/1995
SP1,1994-10-16,Sp Gijon,Albacete,3.0,2.0,H,ES,1994/1995
SP1,1994-10-16,Tenerife,Valladolid,0.0,0.0,D,ES,1994/1995
SP1,1994-10-16,Zaragoza,Celta,4.0,0.0,H,ES,1994/1995
SP1,1994-10-22,Celta,Ath Madrid,1.0,0.0,H,ES,1994/1995
SP1,1994-10-23,Albacete,Santander,2.0,0.0,H,ES,1994/1995
SP1,1994-10-23,Ath Bilbao,Sp Gijon,2.0,0.0,H,ES,1994/1995
SP1,1994-10-23,Barcelona,Tenerife,1.0,0.0,H,ES,1994/1995
SP1,1994-10-23,Betis,Zaragoza,0.0,1.0,A,ES,1994/1995
SP1,1994-10-23,La Coruna,Valencia,3.0,1.0,H,ES,1994/1995
SP1,1994-10-23,Logrones,Espanol,1.0,1.0,D,ES,1994/1995
SP1,1994-10-23,Oviedo,Sevilla,1.0,0.0,H,ES,1994/1995
SP1,1994-10-23,Real Madrid,Compostela,1.0,1.0,D,ES,1994/1995
SP1,1994-10-23,Valladolid,Sociedad,1.0,1.0,D,ES,1994/1995
SP1,1994-10-29,Sociedad,Barcelona,1.0,1.0,D,ES,1994/1995
SP1,1994-10-29,Tenerife,La Coruna,1.0,1.0,D,ES,1994/1995
SP1,1994-10-29,Valencia,Celta,1.0,0.0,H,ES,1994/1995
SP1,1994-10-29,Zaragoza,Real Madrid,3.0,2.0,H,ES,1994/1995
SP1,1994-10-30,Ath Madrid,Betis,0.0,2.0,A,ES,1994/1995
SP1,1994-10-30,Compostela,Logrones,2.0,0.0,H,ES,1994/1995
SP1,1994-10-30,Espanol,Albacete,5.0,1.0,H,ES,1994/1995
SP1,1994-10-30,Oviedo,Valladolid,1.0,0.0,H,ES,1994/1995
SP1,1994-10-30,Sevilla,Sp Gijon,5.0,1.0,H,ES,1994/1995
SP1,1994-10-31,Santander,Ath Bilbao,0.0,2.0,A,ES,1994/1995
SP1,1994-05-11,Real Madrid,Ath Madrid,4.0,2.0,H,ES,1994/1995
SP1,1994-06-11,Albacete,Compostela,1.0,3.0,A,ES,1994/1995
SP1,1994-06-11,Ath Bilbao,Espanol,1.0,3.0,A,ES,1994/1995
