Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SOH,SOD,SOA,SBH,SBD,SBA,WHH,WHD,WHA,Country,Season
E3,2002-08-10,Bristol City,Blackpool,2,0,H,0,0,D,M Fletcher,18.0,4.0,12.0,1.0,14.0,8.0,10.0,0.0,3,1,0,2,1.667,3.4,4.5,1.73,3.33,4.44,1.65,3.2,3.9,1.727,3.2,4.333,,,,1.667,3.4,4.5,1.66,3.4,4.33,EN,2002/2003
E3,2002-08-10,Cheltenham,Wigan,0,2,A,0,2,A,R Beeby,10.0,15.0,4.0,6.0,17.0,10.0,8.0,6.0,0,0,0,0,2.8,3.25,2.2,2.75,3.25,2.3,2.6,3.0,2.2,2.75,3.25,2.2,,,,2.75,3.2,2.3,2.8,3.2,2.2,EN,2002/2003
E3,2002-08-10,Colchester,Stockport,1,0,H,0,0,D,P Danson,17.0,10.0,8.0,4.0,15.0,17.0,11.0,2.0,0,2,0,1,2.625,3.2,2.375,2.45,3.3,2.5,2.35,3.0,2.35,2.4,3.25,2.5,,,,2.5,3.2,2.5,2.5,3.1,2.5,EN,2002/2003
E3,2002-08-10,Huddersfield,Brentford,0,2,A,0,2,A,C Foy,11.0,5.0,6.0,2.0,13.0,18.0,7.0,5.0,2,1,0,0,1.8,3.25,4.0,1.8,3.25,4.0,1.75,3.2,3.5,1.8,3.2,4.0,,,,1.833,3.25,3.8,1.72,3.25,4.2,EN,2002/2003
E3,2002-08-10,Luton,Peterboro,2,3,A,0,2,A,B Curson,13.0,10.0,6.0,6.0,15.0,10.0,5.0,3.0,2,1,0,0,1.727,3.25,4.333,1.73,3.45,4.5,1.65,3.2,3.9,1.667,3.4,4.333,,,,1.667,3.4,4.5,1.66,3.4,4.33,EN,2002/2003
E3,2002-08-10,Mansfield,Plymouth,4,3,H,1,1,D,G Frankland,20.0,11.0,13.0,6.0,14.0,17.0,4.0,4.0,2,2,0,0,2.5,3.2,2.5,2.45,3.3,2.5,2.35,3.0,2.35,2.4,3.25,2.5,,,,2.5,3.2,2.5,2.5,3.1,2.5,EN,2002/2003
E3,2002-08-10,Northampton,Crewe,1,1,D,0,1,A,T Parkes,10.0,10.0,6.0,5.0,8.0,10.0,2.0,4.0,0,0,0,0,2.625,3.2,2.375,2.5,3.3,2.45,2.4,3.0,2.3,2.5,3.25,2.4,,,,2.6,3.2,2.4,2.62,3.1,2.37,EN,2002/2003
E3,2002-08-10,Notts County,Wycombe,1,1,D,0,0,D,M Warren,11.0,10.0,4.0,5.0,16.0,15.0,7.0,9.0,1,0,0,0,2.1,3.25,3.0,2.15,3.3,3.15,2.1,3.0,2.8,2.1,3.2,3.0,,,,2.1,3.25,3.0,2.0,3.3,3.1,EN,2002/2003
E3,2002-08-10,Oldham,Cardiff,1,2,A,0,1,A,E Wolstenholme,15.0,12.0,5.0,5.0,19.0,10.0,7.0,9.0,3,1,0,0,2.8,3.25,2.2,2.7,3.3,2.3,2.4,3.0,2.3,2.4,3.25,2.5,,,,2.75,3.25,2.25,2.75,3.2,2.25,EN,2002/2003
E3,2002-08-10,Port Vale,Tranmere,1,4,A,1,2,A,S Baines,12.0,8.0,6.0,4.0,6.0,8.0,1.0,1.0,1,0,0,0,2.1,3.25,3.0,2.15,3.25,3.0,2.0,3.0,2.9,2.0,3.4,3.0,,,,2.1,3.25,3.0,2.0,3.2,3.2,EN,2002/2003
E3,2002-08-10,QPR,Chesterfield,3,1,H,0,0,D,R Oliver,13.0,8.0,5.0,2.0,11.0,16.0,6.0,3.0,1,4,0,0,1.533,3.5,5.5,1.62,3.25,5.5,1.55,3.3,4.5,1.571,3.25,5.5,,,,1.6,3.25,5.5,1.57,3.25,5.5,EN,2002/2003
E3,2002-08-10,Swindon,Barnsley,3,1,H,1,1,D,P Rejer,9.0,11.0,5.0,2.0,13.0,17.0,6.0,5.0,1,2,0,0,2.6,3.2,2.4,2.5,3.3,2.45,2.35,3.0,2.35,2.5,3.25,2.4,,,,2.6,3.2,2.4,2.5,3.1,2.5,EN,2002/2003
