Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SOH,SOD,SOA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,GBAHH,GBAHA,GBAH,B365AHH,B365AHA,B365AH,Country,Season
E4,2003-09-08,Southend,Cheltenham,2,0,H,1,0,H,Kevin Wright,20,6,13,5,14,15,4,4,1,2,0,0,2.375,3.2,2.625,2.4,3.3,2.6,2.2,3.1,2.5,2.25,3.4,2.625,2.38,3.2,2.62,2.37,3.2,2.62,2.37,3.1,2.62,,,,,,,,,EN,2003/2004
E4,2003-09-08,Swansea,Bury,4,2,H,1,1,D,Trevor Kettle,18,10,13,3,8,16,8,2,1,3,0,0,2.3,3.2,2.7,2.3,3.3,2.75,2.1,3.1,2.7,2.25,3.2,2.75,2.25,3.25,2.75,2.25,3.25,2.75,2.0,3.2,3.2,,,,,,,,,EN,2003/2004
E4,2003-08-16,Boston,Huddersfield,2,2,D,1,0,H,David Crick,10,13,5,7,13,8,4,6,1,0,0,0,2.5,3.2,2.5,2.4,3.2,2.6,2.3,3.0,2.4,2.4,3.25,2.5,2.38,3.2,2.62,2.37,3.2,2.62,2.37,3.1,2.62,,,,,,,,,EN,2003/2004
E4,2003-08-16,Bristol Rvs,Rochdale,0,0,D,0,0,D,P Taylor,13,11,5,6,17,8,6,5,2,2,1,0,1.727,3.5,4.0,1.65,3.4,4.65,1.6,3.3,4.0,1.727,3.4,4.0,1.67,3.4,4.33,1.7,3.4,4.33,1.57,3.5,5.0,,,,,,,,,EN,2003/2004
E4,2003-08-16,Bury,Scunthorpe,2,3,A,1,1,D,Alan Butler,13,12,6,7,17,10,7,7,2,4,0,0,2.25,3.25,2.75,2.25,3.2,2.8,2.2,3.0,2.6,2.2,3.25,2.75,2.2,3.25,2.8,2.2,3.25,2.8,2.37,3.1,2.62,,,,,,,,,EN,2003/2004
E4,2003-08-16,Cambridge,Macclesfield,3,1,H,1,0,H,Trevor Kettle,16,18,9,11,21,16,5,5,1,1,0,0,1.8,3.4,3.75,1.8,3.3,3.9,1.85,3.1,3.2,1.8,3.25,3.75,1.8,3.25,4.0,1.8,3.25,4.0,1.9,3.25,3.4,,,,,,,,,EN,2003/2004
E4,2003-08-16,Cheltenham,Swansea,3,4,A,2,1,H,A Bates,17,17,7,12,14,11,8,6,2,3,0,0,2.0,3.25,3.25,1.85,3.3,3.7,2.0,3.0,2.9,2.1,3.2,3.0,1.83,3.25,3.75,1.83,3.25,3.75,2.2,3.2,2.8,,,,,,,,,EN,2003/2004
E4,2003-08-16,Darlington,Kidderminster,0,2,A,0,0,D,Martin Atkinson,8,9,5,7,12,7,3,9,2,1,0,0,2.2,3.25,2.8,2.1,3.2,3.05,2.1,3.0,2.8,2.1,3.2,3.0,2.2,3.25,2.8,2.2,3.25,2.8,1.9,3.25,3.4,,,,,,,,,EN,2003/2004
E4,2003-08-16,Doncaster,Southend,2,0,H,1,0,H,Nigel Miller,12,6,6,0,7,8,7,5,0,0,0,0,1.909,3.25,3.5,2.0,3.2,3.3,2.0,3.0,2.9,2.0,3.4,3.0,2.0,3.25,3.25,2.0,3.25,3.25,2.1,3.2,3.0,,,,,,,,,EN,2003/2004
E4,2003-08-16,Mansfield,Leyton Orient,1,1,D,1,0,H,Andre Marriner,12,12,8,8,10,5,9,4,1,2,0,0,1.8,3.25,4.0,1.8,3.3,3.9,1.8,3.1,3.4,1.727,3.5,3.75,1.83,3.25,3.75,1.83,3.25,3.75,1.83,3.3,3.6,,,,,,,,,EN,2003/2004
E4,2003-08-16,Oxford,Hull,2,1,H,2,0,H,K Wright,5,18,3,7,19,13,2,10,2,0,1,0,2.375,3.2,2.625,2.35,3.2,2.65,2.3,3.0,2.4,2.25,3.2,2.75,2.38,3.2,2.62,2.37,3.2,2.62,2.37,3.3,2.5,,,,,,,,,EN,2003/2004
E4,2003-08-16,Torquay,Lincoln,1,0,H,0,0,D,M Cooper,19,4,9,1,11,16,5,2,1,5,0,0,1.909,3.25,3.5,2.0,3.2,3.3,2.0,3.0,2.9,2.1,3.2,3.0,2.0,3.25,3.25,2.0,3.25,3.25,2.0,3.2,3.2,,,,,,,,,EN,2003/2004
E4,2003-08-16,Yeovil,Carlisle,3,0,H,2,0,H,M Thorpe,17,12,10,5,8,21,8,6,2,4,0,0,1.571,3.4,5.5,1.6,3.4,5.1,1.55,3.4,4.3,1.571,3.75,4.5,1.57,3.4,5.5,1.57,3.4,5.5,1.53,3.4,5.5,,,,,,,,,EN,2003/2004
E4,2003-08-16,York,Northampton,1,0,H,1,0,H,M Pike,6,13,1,8,8,8,7,4,1,2,0,0,2.5,3.2,2.5,2.4,3.2,2.6,2.35,3.0,2.35,2.25,3.2,2.75,2.5,3.2,2.5,2.5,3.2,2.5,2.62,3.1,2.37,,,,,,,,,EN,2003/2004
E4,2003-08-22,Northampton,Darlington,1,0,H,1,0,H,Steve Tanner,11,6,5,2,14,12,15,3,0,4,0,0,1.667,3.4,4.5,1.7,3.4,4.4,1.7,3.2,3.7,1.615,3.5,4.5,1.67,3.4,4.5,1.66,3.4,4.5,1.66,3.4,4.33,,,,,,,,,EN,2003/2004
E4,2003-08-22,Swansea,Boston,3,0,H,0,0,D,M Jones,19,7,9,3,10,13,11,2,0,3,0,0,1.727,3.5,4.0,1.75,3.4,4.1,1.7,3.2,3.7,1.727,3.4,4.0,1.8,3.25,4.0,1.8,3.25,4.0,1.72,3.4,4.0,,,,,,,,,EN,2003/2004
E4,2003-08-23,Carlisle,Bristol Rvs,0,2,A,0,2,A,N Miller,15,15,7,10,15,7,5,3,0,0,0,0,2.625,3.2,2.375,2.65,3.15,2.4,2.4,3.0,2.3,2.6,3.2,2.375,2.6,3.2,2.4,2.6,3.2,2.4,2.62,3.1,2.37,,,,,,,,,EN,2003/2004
E4,2003-08-23,Huddersfield,York,0,1,A,0,1,A,J Ross,9,7,5,3,11,15,7,3,1,1,0,0,1.8,3.4,3.75,1.75,3.4,4.1,1.7,3.2,3.7,1.667,3.4,4.333,1.73,3.4,4.0,1.72,3.4,4.2,1.72,3.4,4.0,,,,,,,,,EN,2003/2004
E4,2003-08-23,Hull,Cheltenham,3,3,D,2,3,A,G Laws,13,13,7,4,8,14,8,5,0,3,0,0,1.615,3.6,4.5,1.57,3.45,5.5,1.55,3.3,4.5,1.5,3.4,6.0,1.62,3.4,5.0,1.61,3.4,5.0,1.53,3.4,5.5,,,,,,,,,EN,2003/2004
E4,2003-08-23,Kidderminster,Bury,0,2,A,0,1,A,L Probert,17,8,6,3,11,12,8,2,1,5,0,0,1.8,3.25,4.0,1.85,3.3,3.8,1.8,3.1,3.4,1.8,3.25,3.75,1.73,3.4,4.0,1.72,3.4,4.2,1.8,3.3,3.75,,,,,,,,,EN,2003/2004
E4,2003-08-23,Leyton Orient,Yeovil,2,0,H,1,0,H,B Curson,13,6,7,3,15,15,10,6,2,0,0,0,2.75,3.25,2.25,2.65,3.15,2.4,2.4,3.0,2.3,2.75,3.2,2.25,2.6,3.2,2.4,2.6,3.2,2.4,2.62,3.1,2.37,,,,,,,,,EN,2003/2004
E4,2003-08-23,Lincoln,Doncaster,0,0,D,0,0,D,B Knight,4,12,2,5,15,15,7,9,3,3,0,0,2.375,3.2,2.625,2.35,3.2,2.7,2.3,3.0,2.4,2.375,3.2,2.6,2.25,3.25,2.75,2.25,3.25,2.75,2.25,3.2,2.75,,,,,,,,,EN,2003/2004
E4,2003-08-23,Macclesfield,Torquay,1,1,D,1,0,H,A Penn,16,7,16,7,5,10,4,2,1,0,0,0,2.375,3.2,2.625,2.35,3.2,2.7,2.3,3.0,2.4,2.4,3.25,2.5,2.38,3.2,2.62,2.37,3.2,2.62,2.25,3.2,2.75,,,,,,,,,EN,2003/2004
E4,2003-08-23,Rochdale,Cambridge,2,2,D,0,2,A,K Friend,9,11,8,10,14,13,5,4,1,2,1,0,2.375,3.2,2.625,2.35,3.2,2.7,2.3,3.0,2.4,2.4,3.25,2.5,2.3,3.2,2.7,2.3,3.2,2.7,2.37,3.1,2.62,,,,,,,,,EN,2003/2004
E4,2003-08-23,Scunthorpe,Oxford,1,1,D,0,1,A,M Ryan,9,6,4,3,9,12,6,4,1,0,0,0,2.375,3.2,2.625,2.4,3.25,2.6,2.3,3.0,2.4,2.5,3.2,2.5,2.3,3.2,2.7,2.3,3.2,2.7,2.25,3.2,2.75,,,,,,,,,EN,2003/2004
E4,2003-08-23,Southend,Mansfield,0,3,A,0,1,A,C Penton,11,18,5,12,12,19,5,6,2,2,0,0,2.1,3.25,3.0,2.15,3.25,2.95,2.1,3.0,2.8,2.2,3.25,2.75,2.2,3.25,2.8,2.2,3.25,2.8,2.1,3.2,3.0,,,,,,,,,EN,2003/2004
E4,2003-08-25,Boston,Carlisle,1,0,H,1,0,H,A Marriner,14,2,7,1,10,7,11,4,1,3,0,1,1.8,3.4,3.75,1.8,3.3,4.1,1.75,3.2,3.5,1.909,3.25,3.4,1.8,3.25,4.0,1.8,3.25,4.0,1.8,3.3,3.75,,,,,,,,,EN,2003/2004
E4,2003-08-25,Bristol Rvs,Macclesfield,2,2,D,2,2,D,J Ross,15,10,6,4,21,15,5,4,0,2,0,0,1.667,3.5,4.333,1.67,3.5,4.55,1.65,3.2,3.9,1.727,3.4,4.0,1.62,3.4,5.0,1.61,3.4,5.0,1.66,3.4,4.33,,,,,,,,,EN,2003/2004
E4,2003-08-25,Bury,Lincoln,2,1,H,0,1,A,K Wright,13,10,6,7,11,21,9,12,1,1,0,0,1.909,3.25,3.5,2.1,3.25,3.15,2.1,3.0,2.8,2.0,3.4,3.0,2.0,3.25,3.25,2.0,3.25,3.25,2.25,3.2,2.75,,,,,,,,,EN,2003/2004
E4,2003-08-25,Cambridge,Hull,0,2,A,0,2,A,P Joslin,8,13,5,7,15,15,9,7,2,1,0,0,2.5,3.2,2.5,2.6,3.2,2.45,2.35,3.0,2.35,2.5,3.25,2.4,2.63,3.2,2.38,2.62,3.2,2.37,2.5,3.1,2.5,,,,,,,,,EN,2003/2004
E4,2003-08-25,Cheltenham,Kidderminster,2,1,H,0,0,D,G Hegley,13,5,9,2,11,18,6,2,2,2,0,1,2.1,3.25,3.0,2.1,3.25,3.15,2.1,3.0,2.8,2.25,3.2,2.75,2.1,3.25,3.0,2.1,3.25,3.0,2.1,3.2,3.0,,,,,,,,,EN,2003/2004
E4,2003-08-25,Darlington,Leyton Orient,2,1,H,0,0,D,C Boyeson,11,14,6,8,16,15,6,7,2,1,0,0,2.2,3.25,2.8,2.25,3.25,2.85,2.2,3.0,2.6,2.25,3.4,2.625,2.25,3.25,2.75,2.25,3.25,2.75,2.25,3.2,2.75,,,,,,,,,EN,2003/2004
E4,2003-08-25,Doncaster,Huddersfield,1,1,D,0,1,A,M Fletcher,11,6,3,2,15,16,7,3,2,3,0,1,2.1,3.25,3.0,2.25,3.25,2.85,2.2,3.0,2.6,2.1,3.2,3.0,2.25,3.25,2.75,2.25,3.25,2.75,2.25,3.2,2.75,,,,,,,,,EN,2003/2004
E4,2003-08-25,Oxford,Swansea,3,0,H,0,0,D,M Atkinson,13,13,5,5,14,10,4,6,1,2,0,0,1.8,3.4,3.75,1.8,3.3,4.1,1.8,3.1,3.4,1.8,3.25,3.75,1.83,3.25,3.75,1.83,3.25,3.75,1.8,3.3,3.75,,,,,,,,,EN,2003/2004
E4,2003-08-25,Torquay,Rochdale,1,3,A,0,0,D,T Kettle,17,11,5,4,16,12,8,6,4,4,1,1,1.727,3.5,4.0,1.75,3.5,4.0,1.7,3.2,3.7,1.727,3.4,4.0,1.8,3.25,4.0,1.8,3.25,4.0,1.72,3.4,4.0,,,,,,,,,EN,2003/2004
E4,2003-08-25,Yeovil,Northampton,0,2,A,0,2,A,S Tomlin,24,6,12,5,12,20,12,4,2,4,0,0,1.909,3.25,3.5,2.1,3.25,3.15,2.0,3.0,2.9,1.8,3.4,3.6,2.1,3.25,3.0,2.1,3.25,3.0,2.1,3.2,3.0,,,,,,,,,EN,2003/2004
E4,2003-08-26,Mansfield,Scunthorpe,5,0,H,2,0,H,A Penn,23,10,18,7,5,10,5,5,1,1,0,0,2.2,3.25,2.8,2.2,3.25,2.9,2.2,3.0,2.6,2.0,3.4,3.0,2.2,3.25,2.8,2.2,3.25,2.8,2.2,3.2,2.8,,,,,,,,,EN,2003/2004
E4,2003-08-26,York,Southend,2,0,H,1,0,H,R Pearson,13,13,8,4,13,9,6,0,1,2,0,0,1.727,3.5,4.0,1.75,3.5,4.0,1.8,3.1,3.4,1.667,3.4,4.333,1.83,3.25,3.75,1.83,3.25,3.75,1.9,3.25,3.4,,,,,,,,,EN,2003/2004
E4,2003-08-30,Carlisle,Cambridge,0,0,D,0,0,D,A Leake,9,5,6,0,15,8,6,10,2,1,0,0,2.625,3.2,2.375,2.6,3.25,2.4,2.4,3.0,2.3,2.5,3.25,2.4,2.75,3.25,2.25,2.7,3.2,2.3,2.62,3.1,2.37,,,,,,,,,EN,2003/2004
E4,2003-08-30,Huddersfield,Bristol Rvs,2,1,H,1,0,H,G Salisbury,14,6,8,2,15,8,3,1,3,1,0,0,2.25,3.2,2.8,2.2,3.25,2.9,2.2,3.0,2.6,2.0,3.2,3.2,2.2,3.25,2.8,2.2,3.25,2.8,2.2,3.2,2.8,,,,,,,,,EN,2003/2004
E4,2003-08-30,Hull,Boston,2,1,H,1,0,H,P Prosser,18,9,5,4,18,16,5,2,4,2,0,1,1.533,3.4,6.0,1.5,3.6,6.0,1.5,3.3,4.8,1.5,3.4,6.0,1.53,3.6,5.5,1.53,3.6,5.5,1.5,3.4,6.0,,,,,,,,,EN,2003/2004
E4,2003-08-30,Kidderminster,Oxford,1,1,D,0,0,D,T Parkes,13,8,9,3,4,8,3,3,0,0,0,0,2.7,3.2,2.3,2.72,3.25,2.3,2.4,3.0,2.3,2.75,3.2,2.25,2.62,3.2,2.38,2.7,3.2,2.3,2.62,3.2,2.3,,,,,,,,,EN,2003/2004
E4,2003-08-30,Leyton Orient,Cheltenham,1,4,A,1,4,A,Richard Beeby,6,12,2,9,16,5,4,6,1,1,1,0,2.25,3.25,2.75,2.2,3.25,2.9,2.1,3.0,2.8,2.1,3.2,3.0,2.25,3.25,2.75,2.25,3.25,2.75,2.2,3.25,2.75,,,,,,,,,EN,2003/2004
E4,2003-08-30,Lincoln,York,3,0,H,1,0,H,Kevin Friend,6,7,4,4,16,17,4,2,1,4,0,1,2.625,3.2,2.375,2.5,3.25,2.5,2.35,3.0,2.35,2.4,3.25,2.5,2.62,3.2,2.38,2.62,3.2,2.37,2.5,3.1,2.5,,,,,,,,,EN,2003/2004
E4,2003-08-30,Macclesfield,Yeovil,4,1,H,2,0,H,E Ilderton,13,9,10,6,8,11,2,5,2,2,0,0,2.5,3.2,2.5,2.55,3.25,2.45,2.35,3.0,2.35,2.5,3.25,2.4,2.62,3.2,2.38,2.6,3.2,2.4,2.6,3.1,2.4,,,,,,,,,EN,2003/2004
E4,2003-08-30,Northampton,Doncaster,1,0,H,0,0,D,Clive Penton,7,7,7,6,11,12,5,9,2,2,0,0,1.727,3.25,4.333,1.75,3.35,4.2,1.75,3.2,3.5,1.727,3.4,4.0,1.67,3.4,4.5,1.66,3.4,4.5,1.72,3.25,4.2,,,,,,,,,EN,2003/2004
E4,2003-08-30,Rochdale,Darlington,4,2,H,2,2,D,P Robinson,16,10,10,2,9,19,5,4,0,2,0,0,1.909,3.25,3.5,1.95,3.25,3.45,2.0,3.0,2.9,1.833,3.4,3.6,2.0,3.25,3.25,2.0,3.25,3.25,2.1,3.2,3.0,,,,,,,,,EN,2003/2004
E4,2003-08-30,Scunthorpe,Torquay,2,1,H,0,1,A,P Crossley,15,12,7,3,10,11,8,1,2,2,1,0,2.0,3.25,3.25,2.0,3.25,3.3,1.9,3.1,3.0,2.1,3.2,3.0,2.0,3.25,3.25,2.0,3.25,3.25,1.9,3.3,3.3,,,,,,,,,EN,2003/2004
E4,2003-08-30,Southend,Bury,1,0,H,0,0,D,Steve Tanner,16,13,8,11,5,17,5,5,2,4,0,0,2.25,3.25,2.75,2.25,3.25,2.8,2.2,3.0,2.6,2.25,3.2,2.75,2.25,3.2,2.8,2.25,3.2,2.8,2.1,3.2,3.0,,,,,,,,,EN,2003/2004
E4,2003-08-30,Swansea,Mansfield,4,1,H,1,1,D,L Probert,15,7,5,3,12,13,6,7,0,6,0,2,1.909,3.25,3.5,1.9,3.35,3.5,1.9,3.1,3.0,1.909,3.4,3.25,2.0,3.25,3.25,2.0,3.25,3.25,1.9,3.4,3.25,,,,,,,,,EN,2003/2004
E4,2003-05-09,Cambridge,Lincoln,0,0,D,0,0,D,I Williamson,11,13,8,6,8,21,6,5,1,2,0,0,1.833,3.25,3.75,1.85,3.3,3.85,1.9,3.1,3.0,1.909,3.2,3.5,1.91,3.25,3.5,1.9,3.25,3.5,1.9,3.2,3.5,2.05,1.65,,,,,,,EN,2003/2004
E4,2003-05-09,Cheltenham,Northampton,4,3,H,0,2,A,T Kettle,15,7,8,5,11,18,6,7,3,3,0,0,2.375,3.2,2.625,2.4,3.2,2.7,2.3,3.0,2.4,2.4,3.25,2.5,2.38,3.2,2.62,2.3,3.2,2.7,2.3,3.2,2.62,1.71,2.0,,,,,,,EN,2003/2004
E4,2003-06-09,Boston,Scunthorpe,1,1,D,1,1,D,N Miller,8,18,1,6,16,13,4,14,3,3,0,0,2.375,3.2,2.625,2.3,3.25,2.8,2.3,3.0,2.4,2.25,3.2,2.75,2.25,3.2,2.75,2.3,3.2,2.7,2.3,3.2,2.62,2.0,1.71,,,,,,,EN,2003/2004
E4,2003-06-09,Bristol Rvs,Kidderminster,1,0,H,0,0,D,A Butler,13,11,5,2,14,8,8,5,2,2,0,0,1.833,3.25,3.75,1.85,3.3,3.85,1.85,3.1,3.2,1.909,3.25,3.4,1.91,3.25,3.5,1.9,3.25,3.5,1.9,3.2,3.5,2.0,1.71,,,,,,,EN,2003/2004
E4,2003-06-09,Bury,Huddersfield,2,1,H,1,0,H,A Marriner,12,13,6,8,9,12,1,6,1,1,0,1,2.25,3.25,2.75,2.25,3.25,2.85,2.3,3.0,2.4,2.375,3.2,2.6,2.25,3.2,2.75,2.3,3.2,2.7,2.3,3.2,2.62,1.85,1.85,,,,,,,EN,2003/2004
E4,2003-06-09,Darlington,Carlisle,2,0,H,2,0,H,F Stretton,9,1,4,1,14,14,6,3,1,5,1,0,1.909,3.25,3.5,1.85,3.3,3.85,1.85,3.1,3.2,1.909,3.2,3.5,1.91,3.25,3.5,1.9,3.25,3.5,1.9,3.3,3.3,2.05,1.65,,,,,,,EN,2003/2004
E4,2003-06-09,Mansfield,Macclesfield,3,2,H,1,2,A,K Wright,16,11,7,4,9,19,8,3,0,2,0,0,1.833,3.25,3.75,1.85,3.3,3.85,1.8,3.1,3.4,1.8,3.25,3.75,1.8,3.25,4.0,1.83,3.25,3.75,1.8,3.3,3.75,1.6,2.15,,,,,,,EN,2003/2004
E4,2003-06-09,Oxford,Southend,2,0,H,1,0,H,R Oliver,13,13,8,7,10,10,3,7,1,0,0,0,1.533,3.4,6.0,1.55,3.55,5.75,1.55,3.3,4.5,1.5,3.4,6.0,1.53,3.5,5.5,1.53,3.5,5.5,1.53,3.6,5.0,1.95,1.75,,,,,,,EN,2003/2004
E4,2003-06-09,Torquay,Leyton Orient,2,1,H,0,0,D,C Penton,10,7,6,3,6,20,1,8,2,2,1,2,1.833,3.25,3.75,1.85,3.25,3.9,1.8,3.1,3.4,1.8,3.25,3.75,1.8,3.25,4.0,1.9,3.25,3.5,1.83,3.4,3.5,1.75,1.95,,,,,,,EN,2003/2004
E4,2003-06-09,Yeovil,Swansea,2,0,H,1,0,H,S Dunn,10,7,8,3,14,11,5,7,2,2,0,0,2.3,3.2,2.7,2.3,3.25,2.8,2.2,3.0,2.6,2.2,3.25,2.75,2.25,3.25,2.75,2.25,3.25,2.75,2.2,3.25,2.75,1.75,1.95,,,,,,,EN,2003/2004
E4,2003-06-09,York,Rochdale,1,2,A,0,2,A,M Atkinson,20,14,15,10,11,13,8,3,0,3,1,1,1.833,3.25,3.75,1.83,3.35,3.9,1.85,3.1,3.2,1.727,3.4,4.0,1.91,3.25,3.5,1.9,3.25,3.5,1.83,3.3,3.6,2.05,1.65,,,,,,,EN,2003/2004
E4,2003-08-09,Doncaster,Hull,0,0,D,0,0,D,E Evans,12,8,5,3,11,10,2,4,3,2,0,0,2.5,3.2,2.5,2.5,3.25,2.55,2.35,3.0,2.35,2.6,3.2,2.38,2.5,3.2,2.5,2.5,3.2,2.5,2.5,3.1,2.5,1.9,1.79,,,,,,,EN,2003/2004
E4,2003-09-13,Bristol Rvs,Boston,2,0,H,0,0,D,R Beeby,12,10,9,5,12,16,8,3,2,1,0,0,1.66,3.4,4.5,1.67,3.5,4.65,1.65,3.2,3.9,1.727,3.4,4.0,1.67,3.4,4.5,1.66,3.4,4.5,1.66,3.3,4.5,1.9,1.79,,,,,,,EN,2003/2004
E4,2003-09-13,Bury,Cheltenham,1,1,D,1,0,H,N Miller,12,9,6,5,16,12,1,4,4,1,0,0,2.3,3.2,2.7,2.3,3.25,2.8,2.3,3.1,2.3,2.25,3.2,2.75,2.38,3.25,2.62,2.3,3.2,2.7,2.3,3.2,2.62,1.6,2.15,,,,,,,EN,2003/2004
E4,2003-09-13,Cambridge,Torquay,1,1,D,1,1,D,S Tanner,11,10,4,7,15,4,3,12,3,2,1,0,2.0,3.25,3.25,2.1,3.3,3.1,2.1,3.0,2.8,2.0,3.2,3.2,2.0,3.25,3.25,2.0,3.25,3.25,2.2,3.2,2.8,1.9,1.79,,,,,,,EN,2003/2004
E4,2003-09-13,Carlisle,Rochdale,3,2,H,3,0,H,M Ryan,14,8,8,6,10,10,8,9,1,1,0,0,2.62,3.2,2.37,2.7,3.4,2.3,2.6,3.0,2.2,3.0,3.2,2.1,2.75,3.25,2.25,2.75,3.25,2.25,2.62,3.3,2.25,2.15,1.6,,,,,,,EN,2003/2004
E4,2003-09-13,Darlington,Doncaster,2,1,H,0,0,D,G Laws,15,14,9,5,15,8,7,6,0,1,0,0,2.25,3.25,2.75,2.3,3.3,2.75,2.2,3.0,2.6,2.25,3.2,2.75,2.38,3.25,2.62,2.37,3.2,2.62,2.25,3.2,2.75,1.95,1.75,,,,,,,EN,2003/2004
E4,2003-09-13,Huddersfield,Northampton,3,0,H,3,0,H,A Leake,16,4,3,2,6,11,12,4,0,1,0,0,2.37,3.2,2.62,2.25,3.3,2.85,2.2,3.0,2.6,2.4,3.25,2.5,2.25,3.25,2.75,2.25,3.25,2.75,2.25,3.3,2.62,2.0,1.71,,,,,,,EN,2003/2004
E4,2003-09-13,Hull,Southend,3,2,H,1,1,D,K Friend,19,11,7,9,13,10,5,4,3,4,0,1,1.5,3.5,6.0,1.5,3.6,6.5,1.5,3.4,4.7,1.4,3.75,7.0,1.5,3.5,6.0,1.5,3.5,6.0,1.44,3.6,6.5,1.71,2.0,,,,,,,EN,2003/2004
E4,2003-09-13,Lincoln,Leyton Orient,0,0,D,0,0,D,L Probert,11,11,4,5,12,20,9,7,3,3,0,1,2.0,3.25,3.25,2.0,3.25,3.45,1.9,3.1,3.0,1.833,3.2,3.75,1.91,3.25,3.5,2.0,3.25,3.25,2.0,3.2,3.2,1.95,1.75,,,,,,,EN,2003/2004
E4,2003-09-13,Macclesfield,Kidderminster,1,1,D,0,1,A,P Joslin,11,9,6,4,3,13,3,5,1,1,0,0,2.1,3.25,3.0,2.05,3.25,3.3,2.0,3.0,2.9,2.0,3.2,3.2,2.1,3.25,3.0,2.1,3.25,3.0,2.0,3.2,3.2,1.9,1.79,,,,,,,EN,2003/2004
