Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Country,Season
F1,1999-07-30,Bordeaux,Bastia,3.0,2.0,H,1.0,0.0,H,FR,1999/2000
F1,1999-07-30,Monaco,St Etienne,2.0,2.0,D,2.0,1.0,H,FR,1999/2000
F1,1999-07-31,Auxerre,Nancy,2.0,1.0,H,1.0,0.0,H,FR,1999/2000
F1,1999-07-31,Lyon,Montpellier,1.0,2.0,A,0.0,1.0,A,FR,1999/2000
F1,1999-07-31,Marseille,Sedan,3.0,0.0,H,2.0,0.0,H,FR,1999/2000
F1,1999-07-31,Metz,Rennes,0.0,0.0,D,0.0,0.0,D,FR,1999/2000
F1,1999-07-31,Nantes,Le Havre,1.0,0.0,H,0.0,0.0,D,FR,1999/2000
F1,1999-07-31,Paris SG,Troyes,1.0,0.0,H,0.0,0.0,D,FR,1999/2000
F1,1999-07-31,Strasbourg,Lens,1.0,0.0,H,0.0,0.0,D,FR,1999/2000
F1,1999-05-08,Le Havre,Marseille,0.0,0.0,D,0.0,0.0,D,FR,1999/2000
F1,1999-05-08,Troyes,Lyon,1.0,2.0,A,0.0,1.0,A,FR,1999/2000
F1,1999-06-08,Bastia,Strasbourg,3.0,0.0,H,1.0,0.0,H,FR,1999/2000
F1,1999-06-08,Lens,Monaco,1.0,0.0,H,0.0,0.0,D,FR,1999/2000
F1,1999-06-08,Sedan,Nancy,3.0,1.0,H,2.0,0.0,H,FR,1999/2000
F1,1999-06-08,St Etienne,Nantes,0.0,2.0,A,0.0,1.0,A,FR,1999/2000
F1,1999-07-08,Metz,Auxerre,3.0,0.0,H,2.0,0.0,H,FR,1999/2000
F1,1999-07-08,Montpellier,Bordeaux,2.0,2.0,D,2.0,1.0,H,FR,1999/2000
F1,1999-07-08,Rennes,Paris SG,1.0,3.0,A,1.0,1.0,D,FR,1999/2000
F1,1999-08-14,Auxerre,Sedan,3.0,1.0,H,2.0,0.0,H,FR,1999/2000
F1,1999-08-14,Bordeaux,Troyes,4.0,0.0,H,1.0,0.0,H,FR,1999/2000
F1,1999-08-14,Monaco,Bastia,4.0,0.0,H,1.0,0.0,H,FR,1999/2000
F1,1999-08-14,Nancy,Le Havre,3.0,0.0,H,0.0,0.0,D,FR,1999/2000
F1,1999-08-14,Nantes,Lens,0.0,1.0,A,0.0,0.0,D,FR,1999/2000
