Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,Country
D2,23/03/03,Burghausen,Union Berlin,0,1,A,0,1,A,1.909,3.0,3.75,1.9,3.05,3.7,2.0,2.9,3.4,1.95,3.2,3.2,1.95,3.1,3.3,1.65,1.95,DE
D2,23/03/03,Duisburg,Lubeck,1,0,H,1,0,H,1.727,3.4,4.0,1.85,3.2,3.75,1.9,3.1,3.5,1.8,3.2,3.75,1.95,3.1,3.3,1.6,2.05,DE
D2,23/03/03,Freiburg,Oberhausen,5,2,H,4,0,H,1.4,3.75,7.0,1.4,3.8,6.9,1.35,4.0,7.0,1.4,4.0,6.0,1.45,3.55,6.0,1.6,2.05,DE
D2,23/03/03,Greuther Furth,Mannheim,5,0,H,2,0,H,1.571,3.5,5.0,1.65,3.4,4.5,1.65,3.3,4.4,1.615,3.6,4.2,1.65,3.35,4.25,1.6,2.05,DE
D2,23/03/03,Karlsruhe,Braunschweig,1,0,H,1,0,H,1.909,3.25,3.4,2.05,3.1,3.2,2.1,3.0,3.1,2.0,3.2,3.1,2.1,3.1,2.95,1.7,1.9,DE
D2,24/03/03,FC Koln,Mainz,1,4,A,1,3,A,1.615,3.4,4.5,1.65,3.4,4.5,1.65,3.3,4.4,1.67,3.5,4.0,1.6,3.3,4.75,1.6,2.05,DE
D2,26/03/03,Union Berlin,Reutlingen,0,0,D,0,0,D,2.1,3.1,3.1,2.1,3.05,3.22,2.1,2.8,3.3,2.1,3.1,3.0,2.1,3.05,3.0,1.8,1.8,DE
D2,04/04/03,Braunschweig,Duisburg,0,1,A,0,0,D,2.375,3.1,2.625,2.3,3.1,2.6,2.1,3.0,3.1,2.375,3.0,2.625,2.3,3.05,2.65,1.75,1.85,DE
D2,04/04/03,Mainz,Burghausen,2,0,H,1,0,H,1.615,3.25,5.0,1.6,3.35,4.7,1.6,3.4,4.6,1.571,3.6,4.5,1.6,3.4,4.6,1.65,2.0,DE
D2,04/04/03,Mannheim,FC Koln,1,2,A,0,0,D,3.75,3.2,1.833,3.45,3.25,1.85,3.5,3.2,1.85,3.75,3.2,1.8,3.85,2.95,1.85,1.6,2.05,DE
D2,06/04/03,Ahlen,Ein Frankfurt,1,1,D,0,0,D,2.625,3.2,2.3,2.65,3.1,2.3,2.7,3.0,2.3,2.7,3.0,2.3,2.7,3.1,2.25,1.65,1.95,DE
D2,06/04/03,Ein Trier,St Pauli,1,2,A,1,1,D,1.615,3.3,5.0,1.6,3.35,4.7,1.65,3.3,4.4,1.615,3.6,4.2,1.55,3.55,4.75,1.6,2.05,DE
