Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,GBH,GBD,GBA,IWH,IWD,IWA,WHH,WHD,WHA,Country,Season
I2,2001-04-14,Piacenza,Monza,1,0,H,0,0,D,1.35,3.7,8.0,1.25,4.0,8.5,1.3,4.0,8.5,IT,2000/2001
I2,2001-04-14,Salernitana,Cosenza,0,1,A,0,1,A,2.2,2.55,3.45,2.3,2.3,3.1,2.15,2.4,3.9,IT,2000/2001
I2,2001-04-14,Siena,Empoli,1,1,D,1,1,D,2.1,2.55,3.7,,,,2.25,2.25,4.0,IT,2000/2001
I2,2001-04-14,Ternana,Ravenna,4,0,H,2,0,H,1.35,3.7,8.0,1.3,3.5,8.0,1.3,4.1,8.0,IT,2000/2001
I2,2001-04-14,Treviso,Cittadella,1,2,A,0,0,D,1.97,2.6,4.1,1.8,2.6,4.0,1.8,2.6,5.0,IT,2000/2001
I2,2001-04-20,Empoli,Crotone,4,2,H,3,1,H,,,,,,,,,,IT,2000/2001
I2,2001-04-22,Ancona,Piacenza,0,2,A,0,1,A,2.5,2.5,3.1,,,,2.8,2.4,2.75,IT,2000/2001
I2,2001-04-22,Cittadella,Cagliari,2,0,H,1,0,H,2.55,2.5,2.97,2.7,2.4,2.6,2.5,2.55,2.9,IT,2000/2001
I2,2001-04-22,Cosenza,Treviso,3,2,H,1,1,D,1.53,3.1,6.55,1.5,3.0,5.2,1.45,3.5,6.1,IT,2000/2001
I2,2001-04-22,Monza,Siena,1,2,A,1,1,D,2.17,2.55,3.62,2.1,2.5,3.4,2.2,2.5,3.5,IT,2000/2001
I2,2001-04-22,Pescara,Chievo,0,2,A,0,1,A,3.45,2.6,2.2,,,,3.5,2.9,1.95,IT,2000/2001
I2,2001-04-22,Pistoiese,Salernitana,1,1,D,1,0,H,2.05,2.55,4.0,,,,2.1,2.25,4.6,IT,2000/2001
I2,2001-04-22,Sampdoria,Ravenna,2,0,H,0,0,D,1.22,4.6,9.5,1.2,4.2,10.0,1.2,5.0,9.5,IT,2000/2001
I2,2001-04-22,Torino,Genoa,1,1,D,0,0,D,1.5,3.2,6.7,1.55,2.7,5.5,1.6,2.75,6.5,IT,2000/2001
I2,2001-04-23,Venezia,Ternana,2,1,H,1,0,H,1.7,2.85,5.25,1.8,2.3,4.5,1.8,2.6,5.0,IT,2000/2001
I2,2001-04-27,Cagliari,Empoli,2,3,A,1,2,A,1.85,2.8,4.35,,,,,,,IT,2000/2001
I2,2001-04-29,Chievo,Cosenza,2,1,H,0,0,D,1.9,2.6,4.6,,,,,,,IT,2000/2001
I2,2001-04-29,Crotone,Cittadella,2,2,D,1,1,D,1.8,2.75,4.85,,,,,,,IT,2000/2001
I2,2001-04-29,Genoa,Pistoiese,0,0,D,0,0,D,1.75,2.6,5.6,,,,,,,IT,2000/2001
I2,2001-04-29,Piacenza,Venezia,1,0,H,1,0,H,2.05,2.4,4.5,,,,,,,IT,2000/2001
I2,2001-04-29,Ravenna,Torino,1,2,A,1,0,H,5.5,3.0,1.55,,,,,,,IT,2000/2001
I2,2001-04-29,Salernitana,Pescara,3,1,H,2,1,H,1.3,3.8,8.0,,,,,,,IT,2000/2001
I2,2001-04-29,Ternana,Ancona,3,2,H,1,1,D,1.4,3.4,8.0,,,,,,,IT,2000/2001
I2,2001-04-29,Treviso,Monza,3,0,H,0,0,D,1.5,3.1,5.8,,,,,,,IT,2000/2001
I2,2001-04-30,Siena,Sampdoria,0,0,D,0,0,D,3.6,2.65,2.0,,,,3.7,2.55,2.1,IT,2000/2001
I2,2001-03-05,Treviso,Empoli,1,1,D,1,1,D,1.95,3.0,3.5,,,,1.95,2.9,3.55,IT,2000/2001
I2,2001-10-05,Torino,Cagliari,2,0,H,1,0,H,1.35,3.25,7.5,1.55,2.7,5.8,,,,IT,2000/2001
I2,2001-12-05,Ancona,Treviso,3,1,H,1,1,D,1.9,3.1,3.4,,,,,,,IT,2000/2001
I2,2001-12-05,Cittadella,Ravenna,1,0,H,1,0,H,1.4,3.45,7.25,,,,,,,IT,2000/2001
I2,2001-12-05,Cosenza,Sampdoria,4,4,D,2,1,H,2.4,2.65,2.98,,,,,,,IT,2000/2001
I2,2001-12-05,Empoli,Salernitana,2,1,H,1,0,H,2.0,2.75,3.7,,,,,,,IT,2000/2001
I2,2001-12-05,Genoa,Piacenza,1,1,D,0,1,A,4.0,1.6,3.25,,,,,,,IT,2000/2001
I2,2001-12-05,Monza,Chievo,1,3,A,1,0,H,6.0,3.4,1.4,,,,,,,IT,2000/2001
I2,2001-12-05,Pescara,Ternana,1,3,A,1,0,H,4.15,3.2,1.75,,,,,,,IT,2000/2001
I2,2001-12-05,Siena,Crotone,1,1,D,0,0,D,2.0,2.6,4.1,,,,,,,IT,2000/2001
I2,2001-12-05,Venezia,Pistoiese,1,0,H,0,0,D,1.35,3.5,8.5,,,,,,,IT,2000/2001
I2,2001-05-20,Cagliari,Ancona,2,2,D,2,0,H,,,,,,,,,,IT,2000/2001
I2,2001-05-20,Chievo,Piacenza,1,1,D,1,1,D,,,,,,,,,,IT,2000/2001
I2,2001-05-20,Cittadella,Genoa,1,1,D,1,0,H,,,,,,,,,,IT,2000/2001
I2,2001-05-20,Crotone,Salernitana,0,1,A,0,1,A,,,,,,,,,,IT,2000/2001
I2,2001-05-20,Empoli,Torino,2,1,H,1,0,H,,,,,,,,,,IT,2000/2001
I2,2001-05-20,Pistoiese,Siena,0,1,A,0,0,D,,,,,,,,,,IT,2000/2001
I2,2001-05-20,Ravenna,Monza,2,3,A,1,2,A,,,,,,,,,,IT,2000/2001
I2,2001-05-20,Sampdoria,Venezia,4,1,H,3,1,H,,,,,,,,,,IT,2000/2001
I2,2001-05-20,Ternana,Cosenza,1,1,D,1,0,H,,,,,,,,,,IT,2000/2001
I2,2001-05-20,Treviso,Pescara,1,0,H,0,0,D,,,,,,,,,,IT,2000/2001
I2,2001-05-27,Ancona,Ravenna,2,5,A,2,4,A,,,,,,,,,,IT,2000/2001
I2,2001-05-27,Cosenza,Pistoiese,1,3,A,1,1,D,,,,,,,,,,IT,2000/2001
I2,2001-05-27,Genoa,Crotone,2,0,H,0,0,D,,,,,,,,,,IT,2000/2001
I2,2001-05-27,Monza,Empoli,0,1,A,0,0,D,,,,,,,,,,IT,2000/2001
I2,2001-05-27,Pescara,Torino,0,1,A,0,1,A,,,,,,,,,,IT,2000/2001
I2,2001-05-27,Piacenza,Sampdoria,2,1,H,0,1,A,,,,,,,,,,IT,2000/2001
I2,2001-05-27,Salernitana,Cittadella,3,0,H,1,0,H,,,,,,,,,,IT,2000/2001
I2,2001-05-27,Siena,Cagliari,1,1,D,1,0,H,,,,,,,,,,IT,2000/2001
I2,2001-05-27,Ternana,Treviso,3,1,H,0,1,A,,,,,,,,,,IT,2000/2001
I2,2001-05-27,Venezia,Chievo,2,1,H,1,0,H,,,,,,,,,,IT,2000/2001
I2,2001-10-06,Ancona,Cittadella,1,1,D,1,1,D,,,,,,,,,,IT,2000/2001
I2,2001-03-06,Cagliari,Ternana,1,1,D,1,0,H,,,,,,,,,,IT,2000/2001
I2,2001-03-06,Chievo,Salernitana,2,0,H,0,0,D,,,,,,,,,,IT,2000/2001
I2,2001-06-06,Cittadella,Siena,0,0,D,0,0,D,,,,,,,,,,IT,2000/2001
I2,2001-10-06,Cosenza,Ravenna,3,1,H,1,0,H,,,,,,,,,,IT,2000/2001
I2,2001-03-06,Crotone,Pescara,2,0,H,1,0,H,,,,,,,,,,IT,2000/2001
I2,2001-03-06,Empoli,Ancona,3,1,H,1,1,D,,,,,,,,,,IT,2000/2001
I2,2001-10-06,Genoa,Cagliari,2,0,H,0,0,D,,,,,,,,,,IT,2000/2001
I2,2001-10-06,Monza,Pistoiese,3,1,H,1,0,H,,,,,,,,,,IT,2000/2001
I2,2001-10-06,Pescara,Sampdoria,2,2,D,0,1,A,,,,,,,,,,IT,2000/2001
I2,2001-10-06,Piacenza,Treviso,1,1,D,0,1,A,,,,,,,,,,IT,2000/2001
I2,2001-03-06,Pistoiese,Piacenza,1,1,D,1,1,D,,,,,,,,,,IT,2000/2001
I2,2001-03-06,Ravenna,Venezia,0,3,A,0,1,A,,,,,,,,,,IT,2000/2001
I2,2001-10-06,Salernitana,Torino,0,2,A,0,2,A,,,,,,,,,,IT,2000/2001
I2,2001-03-06,Sampdoria,Monza,4,2,H,2,1,H,,,,,,,,,,IT,2000/2001
I2,2001-10-06,Siena,Chievo,1,1,D,0,0,D,,,,,,,,,,IT,2000/2001
I2,2001-10-06,Ternana,Crotone,0,0,D,0,0,D,,,,,,,,,,IT,2000/2001
I2,2001-03-06,Torino,Cosenza,2,1,H,0,0,D,,,,,,,,,,IT,2000/2001
I2,2001-03-06,Treviso,Genoa,2,2,D,0,1,A,,,,,,,,,,IT,2000/2001
I2,2001-10-06,Venezia,Empoli,2,2,D,2,2,D,,,,,,,,,,IT,2000/2001
