Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,GBH,GBD,GBA,IWH,IWD,IWA,WHH,WHD,WHA,Country,Season
I2,2001-01-14,Piacenza,Pistoiese,1,0,H,0,0,D,1.45,3.2,6.8,1.4,3.2,6.2,1.45,3.25,7.0,IT,2000/2001
I2,2001-01-14,Salernitana,Chievo,1,1,D,1,0,H,2.25,2.6,3.1,2.1,2.5,3.2,2.0,2.55,4.0,IT,2000/2001
I2,2001-01-14,Siena,Cittadella,1,1,D,1,0,H,1.8,2.6,4.8,1.65,2.6,5.0,1.75,2.65,5.3,IT,2000/2001
I2,2001-01-14,Venezia,Ravenna,0,0,D,0,0,D,1.5,2.9,7.3,1.4,3.0,7.0,1.55,2.7,8.0,IT,2000/2001
I2,2001-01-15,Ancona,Empoli,1,0,H,0,0,D,1.95,2.6,4.1,1.9,2.5,3.8,1.9,2.6,4.4,IT,2000/2001
I2,2001-01-19,Torino,Salernitana,2,0,H,2,0,H,1.63,2.9,5.6,1.65,2.5,5.8,1.55,3.0,6.2,IT,2000/2001
I2,2001-01-21,Cagliari,Genoa,3,0,H,2,0,H,1.71,2.8,5.0,1.8,2.5,4.5,1.75,2.7,5.0,IT,2000/2001
I2,2001-01-21,Chievo,Siena,2,1,H,1,0,H,1.67,2.8,5.5,1.6,2.7,5.3,1.6,2.8,6.5,IT,2000/2001
I2,2001-01-21,Cittadella,Ancona,2,0,H,0,0,D,2.25,2.4,3.4,2.2,2.4,3.2,2.3,2.45,3.35,IT,2000/2001
I2,2001-01-21,Empoli,Venezia,2,3,A,1,2,A,2.35,2.9,2.6,2.4,2.4,2.9,2.7,2.45,2.75,IT,2000/2001
I2,2001-01-21,Pistoiese,Monza,3,1,H,1,0,H,1.7,2.8,5.0,1.65,2.6,5.3,1.65,2.75,5.8,IT,2000/2001
I2,2001-01-21,Ravenna,Cosenza,0,1,A,0,0,D,2.35,2.4,3.2,2.2,2.4,3.2,2.1,2.55,3.7,IT,2000/2001
I2,2001-01-21,Sampdoria,Pescara,1,1,D,1,1,D,1.43,3.3,6.4,1.4,3.0,7.0,1.35,3.5,9.0,IT,2000/2001
I2,2001-01-21,Treviso,Piacenza,0,3,A,0,2,A,2.65,2.4,2.75,2.6,2.4,2.7,2.85,2.4,2.65,IT,2000/2001
I2,2001-01-22,Crotone,Ternana,0,2,A,0,1,A,2.25,2.4,3.5,2.1,2.4,3.5,2.15,2.4,3.9,IT,2000/2001
I2,2001-01-26,Genoa,Chievo,0,1,A,0,1,A,2.2,2.65,3.3,2.0,2.5,3.6,2.2,2.5,3.5,IT,2000/2001
I2,2001-01-28,Ancona,Torino,1,2,A,0,2,A,2.5,2.6,2.85,2.4,2.4,2.9,2.75,2.4,2.75,IT,2000/2001
I2,2001-01-28,Crotone,Cagliari,2,1,H,2,0,H,2.55,2.65,2.8,2.5,2.4,2.8,2.7,2.5,2.7,IT,2000/2001
I2,2001-01-28,Pescara,Cosenza,0,0,D,0,0,D,2.45,2.6,2.95,2.2,2.4,3.1,2.25,2.4,3.5,IT,2000/2001
I2,2001-01-28,Piacenza,Cittadella,3,0,H,2,0,H,1.43,3.3,7.5,1.4,3.0,7.0,1.45,3.1,7.5,IT,2000/2001
I2,2001-01-28,Salernitana,Ravenna,1,0,H,1,0,H,1.73,2.85,4.8,1.7,2.6,4.5,1.7,2.75,5.25,IT,2000/2001
I2,2001-01-28,Ternana,Sampdoria,1,1,D,1,1,D,2.2,2.6,3.4,2.2,2.4,3.1,2.2,2.5,3.5,IT,2000/2001
I2,2001-01-28,Treviso,Siena,1,0,H,0,0,D,2.15,2.6,3.5,1.9,2.3,4.5,2.1,2.5,3.75,IT,2000/2001
I2,2001-01-28,Venezia,Monza,4,1,H,0,0,D,1.35,3.6,9.0,1.25,4.0,9.0,1.3,4.0,8.0,IT,2000/2001
I2,2001-01-29,Pistoiese,Empoli,1,2,A,0,0,D,2.15,2.6,3.5,2.1,2.5,3.3,2.1,2.5,3.75,IT,2000/2001
I2,2001-02-02,Cosenza,Piacenza,2,1,H,1,0,H,2.4,2.6,3.0,2.6,2.5,2.6,2.55,2.55,2.8,IT,2000/2001
I2,2001-04-02,Cagliari,Treviso,3,2,H,2,0,H,1.6,2.95,6.0,1.55,2.8,5.4,1.55,3.0,6.0,IT,2000/2001
I2,2001-04-02,Chievo,Ternana,2,1,H,1,1,D,1.85,2.7,4.5,1.85,2.6,3.9,1.9,2.6,4.3,IT,2000/2001
I2,2001-04-02,Cittadella,Venezia,2,1,H,1,1,D,2.9,2.6,2.5,2.8,2.5,2.4,2.9,2.7,2.35,IT,2000/2001
I2,2001-04-02,Empoli,Pescara,2,1,H,1,0,H,1.7,2.85,5.1,1.8,2.5,4.4,1.8,2.7,4.5,IT,2000/2001
I2,2001-04-02,Monza,Ancona,1,1,D,0,1,A,2.75,2.6,2.6,2.7,2.6,2.4,2.5,2.7,2.7,IT,2000/2001
I2,2001-04-02,Ravenna,Crotone,1,2,A,0,0,D,2.45,2.55,3.0,2.3,2.6,2.8,2.4,2.6,2.95,IT,2000/2001
I2,2001-04-02,Siena,Genoa,1,0,H,1,0,H,1.93,2.65,4.2,2.1,2.3,3.7,1.95,2.6,4.1,IT,2000/2001
I2,2001-04-02,Torino,Pistoiese,2,0,H,1,0,H,1.4,3.2,7.5,1.3,3.5,8.0,1.3,3.9,8.5,IT,2000/2001
I2,2001-05-02,Sampdoria,Salernitana,2,0,H,0,0,D,1.6,2.9,6.0,1.55,2.8,5.4,1.6,3.0,5.5,IT,2000/2001
I2,2001-09-02,Pescara,Cagliari,0,0,D,0,0,D,3.05,2.6,2.3,2.7,2.5,2.5,3.0,2.5,2.45,IT,2000/2001
I2,2001-11-02,Ancona,Siena,2,1,H,0,0,D,1.85,2.6,4.5,1.8,2.5,4.4,1.9,2.5,4.65,IT,2000/2001
I2,2001-11-02,Crotone,Cosenza,1,2,A,1,1,D,2.15,2.55,3.45,2.2,2.3,3.5,2.25,2.4,3.55,IT,2000/2001
I2,2001-11-02,Genoa,Empoli,1,2,A,0,1,A,1.9,2.7,4.2,1.7,2.6,4.5,1.8,2.6,5.0,IT,2000/2001
I2,2001-11-02,Piacenza,Ravenna,1,0,H,1,0,H,1.35,3.55,8.0,1.35,3.2,8.0,1.4,3.3,8.0,IT,2000/2001
I2,2001-11-02,Pistoiese,Sampdoria,3,1,H,1,0,H,3.05,2.5,2.4,2.7,2.5,2.5,2.85,2.5,2.55,IT,2000/2001
I2,2001-11-02,Salernitana,Monza,2,0,H,1,0,H,1.4,3.4,7.0,1.3,3.5,8.0,1.4,3.2,8.6,IT,2000/2001
I2,2001-11-02,Ternana,Cittadella,4,1,H,2,1,H,1.5,3.05,6.5,1.45,3.0,6.0,1.5,3.0,7.0,IT,2000/2001
I2,2001-11-02,Treviso,Chievo,0,2,A,0,0,D,2.7,2.5,2.65,2.7,2.4,2.6,2.6,2.4,2.95,IT,2000/2001
I2,2001-12-02,Venezia,Torino,1,0,H,0,0,D,2.25,2.45,3.4,2.3,2.4,3.0,2.25,2.4,3.55,IT,2000/2001
I2,2001-02-16,Monza,Pescara,1,0,H,0,0,D,2.2,2.6,3.25,2.5,2.3,2.9,2.3,2.9,2.75,IT,2000/2001
I2,2001-02-18,Cagliari,Salernitana,1,1,D,1,1,D,1.55,2.95,6.1,1.6,2.8,4.8,1.6,2.85,6.0,IT,2000/2001
I2,2001-02-18,Chievo,Crotone,3,1,H,1,1,D,1.5,3.1,6.25,1.55,2.8,5.5,1.55,3.0,6.2,IT,2000/2001
I2,2001-02-18,Cittadella,Pistoiese,2,1,H,0,1,A,1.8,2.7,4.5,1.8,2.5,4.4,1.85,2.65,4.5,IT,2000/2001
I2,2001-02-18,Cosenza,Venezia,1,0,H,0,0,D,2.25,2.45,3.4,2.3,2.3,3.2,2.3,2.45,3.4,IT,2000/2001
I2,2001-02-18,Ravenna,Genoa,1,1,D,1,0,H,2.2,2.55,3.35,2.2,2.3,3.4,2.25,2.75,3.0,IT,2000/2001
I2,2001-02-18,Sampdoria,Ancona,3,1,H,1,1,D,1.55,2.95,6.1,1.6,2.8,4.8,1.55,2.9,6.5,IT,2000/2001
I2,2001-02-18,Siena,Piacenza,0,0,D,0,0,D,2.55,2.45,2.85,2.5,2.4,2.8,2.7,2.4,2.8,IT,2000/2001
I2,2001-02-18,Torino,Treviso,1,0,H,0,0,D,1.35,3.6,7.85,1.4,3.3,6.0,1.35,3.6,8.5,IT,2000/2001
I2,2001-02-19,Empoli,Ternana,0,0,D,0,0,D,2.25,2.45,3.35,2.2,2.5,3.1,2.35,2.5,3.15,IT,2000/2001
I2,2001-02-23,Venezia,Ancona,2,1,H,2,0,H,1.62,2.9,5.8,1.5,2.8,6.0,1.55,2.85,7.0,IT,2000/2001
I2,2001-02-25,Chievo,Cagliari,2,1,H,1,0,H,1.8,2.8,4.55,1.8,2.5,4.3,1.85,2.6,4.7,IT,2000/2001
I2,2001-02-25,Crotone,Treviso,4,3,H,2,1,H,1.83,2.75,4.45,1.8,2.5,4.2,1.7,2.7,5.5,IT,2000/2001
I2,2001-02-25,Monza,Cosenza,4,2,H,2,1,H,3.15,2.7,2.25,2.9,2.5,2.3,3.1,2.55,2.35,IT,2000/2001
I2,2001-02-25,Pescara,Cittadella,2,0,H,2,0,H,2.38,2.7,2.9,1.9,2.5,3.9,2.2,2.6,3.3,IT,2000/2001
I2,2001-02-25,Piacenza,Empoli,2,0,H,0,0,D,1.63,2.9,5.7,1.5,2.8,6.0,1.55,2.85,7.0,IT,2000/2001
I2,2001-02-25,Pistoiese,Ravenna,2,2,D,1,2,A,1.77,2.75,4.9,1.8,2.4,4.5,1.75,2.65,5.25,IT,2000/2001
I2,2001-02-25,Sampdoria,Torino,2,0,H,2,0,H,2.3,2.7,3.1,2.1,2.5,3.3,2.25,2.55,3.3,IT,2000/2001
I2,2001-02-25,Ternana,Siena,4,0,H,1,0,H,1.58,3.0,6.0,1.5,2.8,6.0,1.55,2.9,6.8,IT,2000/2001
I2,2001-02-26,Salernitana,Genoa,0,1,A,0,1,A,1.75,2.9,4.6,1.8,2.5,4.3,1.75,2.8,4.75,IT,2000/2001
