Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,GBH,GBD,GBA,IWH,IWD,IWA,SYH,SYD,SYA,Country,Season
F2,2002-02-17,St Etienne,Beauvais,1,2,A,0,1,A,2.55,2.7,2.68,2.4,2.6,2.7,,,,FR,2001/2002
F2,2002-02-23,Beauvais,Nancy,0,1,A,0,0,D,1.65,3.0,5.1,1.6,2.9,4.8,1.667,3.1,5.0,FR,2001/2002
F2,2002-02-23,Istres,Grenoble,1,1,D,1,0,H,2.1,2.65,3.55,2.1,2.8,3.0,2.1,2.75,3.5,FR,2001/2002
F2,2002-02-23,Laval,Wasquehal,3,0,H,2,0,H,1.95,2.75,3.85,2.0,2.7,3.3,1.909,2.875,4.0,FR,2001/2002
F2,2002-02-23,Le Havre,St Etienne,0,0,D,0,0,D,1.5,3.3,6.0,1.5,3.2,5.0,1.444,3.4,7.0,FR,2001/2002
F2,2002-02-23,Martigues,Amiens,1,1,D,1,0,H,2.35,2.6,3.1,2.3,2.7,2.7,2.375,2.8,2.875,FR,2001/2002
F2,2002-02-23,Nice,Le Mans,3,2,H,1,1,D,1.95,2.75,3.85,1.9,2.8,3.7,1.909,2.875,4.0,FR,2001/2002
F2,2002-02-23,Nimes,Chateauroux,0,1,A,0,1,A,2.5,2.65,2.8,2.4,2.6,2.7,2.5,2.6,2.9,FR,2001/2002
F2,2002-02-23,Niort,Caen,2,0,H,0,0,D,2.1,2.55,3.75,2.1,2.7,3.1,2.25,2.5,3.6,FR,2001/2002
F2,2002-02-23,Strasbourg,Creteil,0,2,A,0,0,D,1.36,3.7,7.7,1.3,3.6,8.0,1.333,3.75,9.0,FR,2001/2002
F2,2002-02-24,Gueugnon,Ajaccio,1,2,A,0,0,D,2.6,2.5,2.85,2.4,2.65,2.65,2.5,2.625,2.875,FR,2001/2002
F2,2002-03-02,Amiens,Chateauroux,0,1,A,0,0,D,2.1,2.8,3.5,2.1,2.7,2.9,2.2,2.8,3.2,FR,2001/2002
F2,2002-03-02,Laval,Strasbourg,3,0,H,1,0,H,2.5,2.8,2.75,2.4,2.7,2.6,2.625,2.75,2.6,FR,2001/2002
F2,2002-03-02,Nancy,Le Havre,1,1,D,0,0,D,2.4,2.7,3.0,2.3,2.6,2.8,2.5,2.7,2.8,FR,2001/2002
F2,2002-03-02,St Etienne,Wasquehal,0,2,A,0,1,A,1.96,2.9,3.75,1.9,2.8,3.4,1.909,2.875,4.0,FR,2001/2002
F2,2002-03-06,Ajaccio,Nice,1,1,D,0,1,A,1.8,2.9,4.4,1.75,2.9,3.8,1.8,3.0,4.333,FR,2001/2002
F2,2002-03-06,Caen,Nimes,1,0,H,0,0,D,1.7,2.9,5.2,1.7,2.9,4.0,1.727,2.875,5.0,FR,2001/2002
F2,2002-03-06,Chateauroux,Nancy,1,1,D,1,0,H,1.95,2.8,3.85,1.9,2.8,3.4,2.0,2.8,3.75,FR,2001/2002
F2,2002-03-06,Creteil,Niort,1,3,A,1,0,H,2.0,2.75,3.8,2.0,2.7,3.3,2.1,2.7,3.6,FR,2001/2002
F2,2002-03-06,Grenoble,Beauvais,0,0,D,0,0,D,2.65,2.65,2.7,2.55,2.6,2.55,2.5,2.7,2.8,FR,2001/2002
F2,2002-03-06,Gueugnon,Martigues,1,2,A,0,1,A,1.68,3.0,5.0,1.7,2.8,4.2,1.727,2.875,5.0,FR,2001/2002
F2,2002-03-06,Le Mans,Strasbourg,1,0,H,1,0,H,2.15,2.75,3.35,2.1,2.7,3.1,2.3,2.7,3.1,FR,2001/2002
F2,2002-03-06,St Etienne,Laval,3,1,H,0,0,D,2.3,2.8,3.0,2.2,2.7,2.9,2.375,2.8,2.875,FR,2001/2002
F2,2002-03-06,Wasquehal,Istres,1,0,H,1,0,H,2.0,2.6,4.1,2.0,2.7,3.3,1.909,2.875,4.0,FR,2001/2002
F2,2002-03-07,Amiens,Le Havre,2,0,H,0,0,D,2.55,2.6,2.85,2.5,2.6,2.7,2.625,2.75,2.75,FR,2001/2002
F2,2002-03-10,Gueugnon,Nancy,1,0,H,1,0,H,2.3,2.65,3.2,2.2,2.6,3.0,,,,FR,2001/2002
F2,2002-03-15,Strasbourg,Ajaccio,0,0,D,0,0,D,2.0,2.8,3.7,2.0,2.7,3.3,2.1,2.75,3.5,FR,2001/2002
F2,2002-03-16,Beauvais,Chateauroux,1,1,D,1,0,H,1.9,2.85,4.0,1.8,2.8,3.7,,,,FR,2001/2002
F2,2002-03-16,Istres,Creteil,0,0,D,0,0,D,2.05,2.7,3.7,1.9,2.8,3.4,1.909,2.875,4.0,FR,2001/2002
F2,2002-03-16,Laval,Amiens,2,2,D,0,1,A,1.92,2.8,4.0,1.85,2.8,3.5,1.833,2.8,4.5,FR,2001/2002
F2,2002-03-16,Le Havre,Gueugnon,2,1,H,1,0,H,1.6,3.05,5.7,1.55,3.1,4.8,1.533,3.25,6.0,FR,2001/2002
F2,2002-03-16,Martigues,St Etienne,1,1,D,1,0,H,2.2,2.75,3.25,2.1,2.7,3.1,2.25,2.7,3.2,FR,2001/2002
F2,2002-03-16,Nancy,Caen,3,3,D,0,0,D,1.87,2.8,4.2,1.8,2.8,3.7,1.833,2.875,4.333,FR,2001/2002
F2,2002-03-16,Nice,Wasquehal,2,1,H,0,1,A,1.65,3.1,5.0,1.6,3.0,4.6,1.667,3.1,5.0,FR,2001/2002
F2,2002-03-16,Nimes,Grenoble,1,1,D,1,0,H,2.33,2.65,3.1,2.4,2.6,2.7,2.3,2.625,3.25,FR,2001/2002
F2,2002-03-16,Niort,Le Mans,1,0,H,0,0,D,2.55,2.6,2.85,2.4,2.6,2.7,2.6,2.6,2.8,FR,2001/2002
F2,2002-03-23,Ajaccio,Laval,2,0,H,1,0,H,1.58,3.2,5.25,1.6,2.9,4.8,1.615,3.1,5.5,FR,2001/2002
F2,2002-03-23,Amiens,Istres,1,2,A,1,2,A,1.8,2.75,4.75,1.8,2.7,3.8,1.8,2.7,5.0,FR,2001/2002
F2,2002-03-23,Caen,Beauvais,3,2,H,1,2,A,2.65,2.65,2.62,2.55,2.6,2.55,2.5,2.7,2.8,FR,2001/2002
F2,2002-03-23,Creteil,Chateauroux,2,2,D,1,1,D,2.5,2.85,2.6,2.45,2.7,2.55,2.5,2.7,2.8,FR,2001/2002
F2,2002-03-23,Grenoble,Nancy,2,3,A,1,2,A,2.02,2.6,3.9,2.0,2.6,3.4,2.1,2.75,3.5,FR,2001/2002
F2,2002-03-23,Gueugnon,Nice,2,0,H,1,0,H,2.5,2.6,2.85,2.3,2.6,2.8,2.375,2.6,3.1,FR,2001/2002
F2,2002-03-23,Le Mans,Nimes,1,0,H,0,0,D,1.45,3.45,6.4,1.45,3.3,5.5,1.444,3.3,7.5,FR,2001/2002
F2,2002-03-23,Martigues,Le Havre,1,3,A,1,2,A,2.6,2.7,2.7,2.55,2.6,2.55,2.875,2.625,2.5,FR,2001/2002
F2,2002-03-23,St Etienne,Niort,1,0,H,0,0,D,1.92,2.8,3.88,1.9,2.7,3.5,1.909,2.875,4.0,FR,2001/2002
F2,2002-03-23,Wasquehal,Strasbourg,1,1,D,0,1,A,2.35,2.65,3.0,2.3,2.6,2.8,2.4,2.75,2.875,FR,2001/2002
F2,2002-03-26,Beauvais,Le Mans,1,1,D,1,0,H,1.85,2.9,4.1,1.9,2.8,3.4,2.0,2.75,3.8,FR,2001/2002
F2,2002-03-26,Chateauroux,Caen,0,2,A,0,0,D,1.75,3.0,4.4,1.7,2.8,4.2,1.8,2.875,4.5,FR,2001/2002
F2,2002-03-26,Istres,Gueugnon,2,0,H,1,0,H,2.2,2.65,3.35,2.0,2.6,3.5,2.25,2.6,3.4,FR,2001/2002
F2,2002-03-26,Laval,Martigues,2,1,H,0,1,A,1.6,3.25,5.0,1.8,3.0,3.5,1.727,3.1,4.5,FR,2001/2002
F2,2002-03-26,Le Havre,Ajaccio,0,1,A,0,1,A,1.92,2.8,4.0,1.9,2.8,3.4,2.0,2.75,3.8,FR,2001/2002
F2,2002-03-26,Nancy,Creteil,0,0,D,0,0,D,1.72,3.0,4.6,1.8,3.0,3.5,1.727,3.1,4.5,FR,2001/2002
F2,2002-03-26,Nice,Amiens,3,0,H,2,0,H,1.6,3.2,5.1,1.6,2.7,5.4,1.615,3.1,5.5,FR,2001/2002
F2,2002-03-26,Nimes,St Etienne,0,0,D,0,0,D,2.4,2.7,2.9,2.6,2.5,2.6,2.375,2.7,3.0,FR,2001/2002
F2,2002-03-26,Niort,Wasquehal,1,0,H,1,0,H,2.05,2.7,3.6,2.0,2.6,3.5,2.1,2.625,3.75,FR,2001/2002
F2,2002-03-26,Strasbourg,Grenoble,1,1,D,0,1,A,1.45,3.45,6.7,1.5,3.2,5.0,1.5,3.25,6.5,FR,2001/2002
F2,2002-03-30,Nancy,Martigues,1,1,D,1,0,H,1.7,3.1,4.6,,,,1.727,3.1,4.5,FR,2001/2002
F2,2002-04-01,Strasbourg,Istres,2,0,H,1,0,H,1.45,3.4,6.85,1.5,3.2,5.0,,,,FR,2001/2002
F2,2002-04-05,Amiens,Strasbourg,0,2,A,0,1,A,2.8,2.7,2.5,2.7,2.6,2.4,,,,FR,2001/2002
F2,2002-04-06,Ajaccio,Niort,1,0,H,0,0,D,1.45,3.4,6.85,1.4,3.4,6.0,,,,FR,2001/2002
F2,2002-04-06,Creteil,Beauvais,1,0,H,0,0,D,2.8,2.7,2.5,2.6,2.7,2.4,,,,FR,2001/2002
F2,2002-04-06,Grenoble,Chateauroux,0,2,A,0,0,D,2.3,2.7,3.1,2.2,2.6,3.0,,,,FR,2001/2002
F2,2002-04-06,Gueugnon,Laval,3,4,A,2,3,A,2.2,2.75,3.25,2.2,2.6,3.0,,,,FR,2001/2002
F2,2002-04-06,Le Havre,Nice,1,1,D,0,1,A,1.85,2.85,4.2,1.9,2.8,3.4,,,,FR,2001/2002
F2,2002-04-06,Le Mans,Nancy,1,0,H,1,0,H,1.7,3.05,4.7,1.65,2.8,4.5,,,,FR,2001/2002
F2,2002-04-06,Martigues,Istres,1,1,D,1,0,H,2.2,2.65,3.4,2.1,2.6,3.2,,,,FR,2001/2002
F2,2002-04-06,St Etienne,Caen,0,1,A,0,0,D,2.0,2.8,3.75,1.9,2.8,3.4,,,,FR,2001/2002
F2,2002-04-06,Wasquehal,Nimes,3,4,A,2,3,A,1.7,3.05,4.7,1.65,2.8,4.5,,,,FR,2001/2002
F2,2002-04-09,Nimes,Strasbourg,1,3,A,1,1,D,2.75,3.05,2.25,3.1,2.7,2.1,,,,FR,2001/2002
F2,2002-04-13,Beauvais,Wasquehal,0,0,D,0,0,D,1.45,3.5,6.2,1.4,3.5,5.6,1.444,3.6,6.5,FR,2001/2002
